id,title,ISBN13,pages,authors,publisher,date
749,"Pro Java 6 3D Game Development: Java 3D, JOGL, JInput and JOAL APIs",9781590598177,498,Andrew Davison,Apress,April 1st 2007
750,Introduction to Programming with Greenfoot: Object-Oriented Programming in Java with Games and Simulations,9780136037538,216,Michael Kölling,Pearson,August 21st 2009
751,Real World Java Ee Night Hacks Dissecting The Business Tier,9781447672319,168,Adam Bien,Lulu.com,June 29th 2011
752,"Graphic Java 2, Volume 2: Swing (3rd Edition)",9780130796677,1622,David Geary,Prentice Hall PTR,March 22nd 1999
753,Oracle Database Programming Using Java and Web Services,9781555583293,1087,"Kuassi Mensah,Thomas Kyte",Digital Press,July 1st 2006
754,Developing Enterprise Java Applications with J2ee(tm) and UML,9780201738292,368,"Khawar Zaman Ahmed,Ahmed, Khawar Zaman / Umrysh, Cary E. Ahmed, Khawar Zaman / Umrysh, Cary E.,Cary E. Umrysh",Addison-Wesley Professional,October 27th 2001
755,"Eclipse Rich Client Platform: Designing, Coding, and Packaging Java¿ Applications",9780321334619,552,"Jeff McAffer,Jean-Michel Lemieux",Addison-Wesley Professional,October 21st 2005
756,The Java Tutorial for the Real World,9780971843905,304,Yakov Fain,"Smart Data Processing, Inc.",August 13th 2002
757,Java Programmer's Pocket Reference,9780078823688,325,Herbert Schildt,Osborne Publishing,July 1st 1997
758,Pascin: La Java Bleue,9788496427396,80,Joann Sfar,Ponent Mon,November 2006
759,The Java Enterprise CD Bookshelf,9781565928503,622,"O'Reilly Media Inc.,O'Reilly Media Inc.",O'Reilly Media,December 8th 2000
760,Java: First Contact,9781850323167,660,"Roger Garside,John Mariani",Course Technology,September 4th 1997
761,Java Programming with Oracle SQLJ,9780596000875,400,Jason Price,O'Reilly Media,September 3rd 2001
762,Java 7: A Comprehensive Tutorial,9780980839661,850,Budi Kurniawan,BrainySoftware,May 15th 2014
763,Fair Wind To Java,,383,Garland Roark,Doubleday & Company,1948
764,Image Processing In Java,9780139745775,,Douglas A. Lyon,,
765,Learn Java Programming - simpleNeasyBook,,239,WAGmob,WAGmob,November 26th 2013
766,Wilhelmina: Kampkind Op Java,9781869191627,277,Mari'el Le Roux,Protea Boekhuis,January 1st 2007
767,Java 2 Micro Edition,9781930110335,504,"James     White,David Hemphill,David A. Hemphill",Manning Publications,April 1st 2002
768,Java: An Introduction to Computing,9780130142511,945,"Joel Adams,Larry R. Nyhoff",Prentice Hall,January 2nd 2001
769,Jasperreports 3.5 for Java Developers,9781847198099,369,David R. Heffelfinger,Packt Publishing,August 13th 2009
770,Java Distributed Objects,9780672315374,1000,"Bill McCarty,Luke Cassady-Dorion",Sams Publishing,December 22nd 1998
771,Professional Java Data,9781861004109,1320,"Danny Ayers,John Bell,Glenn E. Mitchell,Carl Bettis",Wrox Press,May 24th 2001
772,Java Oracle Database Development,9780130462183,420,David Gallardo,Prentice Hall PTR,December 30th 2002
773,Multithreaded Programming with Java Technology,9780130170071,461,"Bil Lewis,Sun Microsystems Press,Daniel J. Berg",Prentice Hall,December 27th 1999
774,The Java 3D API Specification,9780201325768,482,"Michael Deering,Kevin Rushforth",Addison Wesley Publishing Company,December 1st 1997
775,Core Java Career Essentials,,542,"Arulkumaran Kumaraswamipillai,Mrs Sivayini Arulkumaran",CreateSpace Independent Publishing Platform,July 20th 2011
776,Debugging Java: Troubleshooting for Programmers,783254033764,480,Will David Mitchell,McGraw-Hill Companies,July 1st 2000
777,Data Structures with Java,9780130477248,1024,"William H. Ford,William R. Topp",Prentice Hall,December 1st 2005
778,Jxta: Java P2P Programming,9780672323669,432,"Nitin Borwankar,Darren Govoni,Navaneeth Krishnan",Sams Publishing,April 1st 2002
779,Java Websocket Programming,9780071827188,256,Danny Coward,McGraw-Hill Education,October 7th 2013
780,Restful Java Web Services,9781847196477,259,Jose Sandoval,Packt Publishing,November 11th 2009
781,Desktop Java Live,9780974884332,366,Scott Delap,SourceBeat,September 2005
782,Java bez předchozích znalostí,,280,Jim Keogh,,2005
783,Invitation to Computer Science: Java Version,9781423901433,720,"G. Michael Schneider,Judith L. Gersting",Course Technology,February 3rd 2006
784,Java 2 Certification Training Guide,9781562059507,612,Jamie Jaworski,New Riders Publishing,July 20th 1999
785,Java Elearning Kit for Dummies,9781118098783,448,John Paul Mueller,For Dummies,April 21st 2014
786,The Complete Idiot's Guide to Java 2,9780789721310,336,Michael Morrison,Alpha,June 1st 1999
787,Herb Schildt's Java Programming Cookbook,9780072263152,524,Herbert Schildt,McGraw-Hill/Osborne Media,November 1st 2007
788,Java Card for E-Payment Applications,9781580532914,384,Vesna Hassler,Artech House Publishers,October 31st 2001
789,Knights Of The Dinner Table: The Java Joint,9781594591259,65,"Jolly R. Blackburn,John O'Neill,Steve Johansson",Kenzer and Co.,July 1st 2011
790,Object-Oriented Design with UML and Java,9780750660983,,"Kenneth Barclay,John Savage",Butterworth-Heinemann,February 10th 2004
791,Apprenez à Programmer En Java,,661,Cyrille Herby,,2011
792,Java Script Guias De Aprendizaje,9788420532264,,"Tom Negrino,Dori Smith",,
793,An Extra Shot From the Java Man (Java Man #0.5),,,Harris Gray,Smashwords Edition,November 22nd 2013
794,Sufism in Java: The Role of the Pesantren in the Maintenance of Sufism in Java,9789798116636,105,Zulkifli,Indonesian-Netherlands Cooperation in Islamic Studies,2002
795,"Java 1.2 Unleashed [With Includes 20 Custom Java Applications, Examples...]",9781575213897,1400,Jamie Jaworksi,Sams,September 1st 1998
796,"Ocm Java Ee 6 Enterprise Architect Exam Guide (Exams 1z0-807, 1z0-865 & 1z0-866)",9780071826785,672,"Paul Allen,Joseph J. Bambara",McGraw-Hill/Osborne Media,August 7th 2014
797,Introduction to Computer Graphics: Using Java 2D and 3D,9781846288470,283,Frank Klawonn,Springer,January 1st 2008
798,Practical Java EE 7 Development on WildFly,,345,Francesco Marchioni,ITBuzzPress,June 21st 2014
799,Java 2 Database Programming for Dummies Java 2 Database Programming for Dummies Java 2 Database Programming for Dummies Java 2 Database Programming for Dummies,9780764508813,408,Jim Keogh,For Dummies,October 15th 2001
800,Learning Android: Develop Mobile Apps using Java and Eclipse,9781449319236,288,"Marko Gargenta,Masumi Nakamura",O'Reilly Media,February 3rd 2014
801,OCA/OCP Java SE 7 Programmer I & II Study Guide (Exams 1Z0-803 & 1Z0-804) (Certification Press),,888,"Kathy Sierra,Bert Bates",McGraw-Hill Education,October 28th 2014
802,"Building Imaging Applications with Java Technology: Using AWT Imaging, Java 2D, and Java Advanced Imaging (Jai)",9780201700749,512,Lawrence H. Rodrigues,Addison-Wesley Professional,June 6th 2001
803,Expert Oracle and Java Security: Programming Secure Oracle Database Applications with Java,9781430238317,472,David Coffin,Apress,September 27th 2011
804,Core Java Volume I--Fundamentals (9th Edition): 1 (Core Series) [Kindle Edition],,1008,"Cay S. Horstmann,Gary Cornell",Prentice Hall,November 27th 2012
805,Real World Java EE Patterns--Rethinking Best Practices,,432,Adam Bien,http://press.adam-bien.com,October 31st 2012
806,Computing with Java,9781576760598,736,Art Gittleman,Addison Wesley Longman,May 3rd 2005
807,Java 2,9783826681448,,Ralf Jesse,,
808,Java 2,9788420531533,0,Jose Rafael Garcia-Bermejo,Prentice Hall,September 28th 2003
809,Java Script,9783827324665,,Ralph Steyer,,
810,Introduction to Java,9780139194160,344,Stephen J. Chapman,Prentice Hall,June 23rd 1999
811,The Java Man,9780718139148,,Sean Martin Blain,,
812,Imparare Java,,120,Ivan Venuti,Edizioni Master,2006
813,Temples of Java,9789798114816,117,Ariswara,Intermasa,1992
814,Java How to Program (Early Objects),9788120350649,1240,"Deitel Paul,Deitel Harvey",Pearson,November 14th 2014
815,Java and Databases,9781903996157,128,Stephen M. Gorman,Elsevier Science & Technology,February 1st 2004
816,Ajax on Java,,240,Steven Douglas Olson,,
817,Java Ee 7 First Look,9781849699235,188,Ndjobo Armel Fabrice,Packt Publishing,November 22nd 2013
818,Batik: From the Courts of Java and Sumatra,9780794602710,96,"Rudolf G. Smend,Rudolf G. Smend,Brigitte Khan Majlis,Harmen C. Veldhuisen",Periplus Editions (HK) ltd.,August 15th 2004
819,Java Look and Feel Design Guidelines,9780201615852,231,Sun Microsystems,Addison Wesley Publishing Company,June 1st 1999
820,Android Application Development for Java Programmers,9781133593546,320,James Sheusi,Cengage Learning,January 30th 2012
821,Programming Neural Networks with Encog3 in Java,,231,Jeff Heaton,"Heaton Research, Inc.",October 2nd 2011
822,Professional Java EE Design Patterns,9781118843413,264,"Murat Yener,Alex Theedom",Wrox Press,January 12th 2015
823,Implementing SOA Using Java EE,9780321492159,351,"B.V. Kumar,Tony Ng",Addison-Wesley Professional,December 1st 2009
824,Beginning Java 2 JDK 1.3 Edition (Programmer to Programmer),9781861003669,1000,Ivor Horton,Peer Information Inc.,March 1st 2000
825,"Java Practice Questions: Oracle Certified Associate, Java SE 7 Programmer (OCAJ)",9781484042304,302,Esteban Herrera,CreateSpace Independent Publishing Platform,June 4th 2013
826,Pemrograman Database Menggunakan Java & MySQL untuk Pemula,,308,Supriyatno,mediakita,
827,"The Java(tm) Class Libraries, Volume 2: Java.Applet, Java.AWT, Java.Beans",9780201310030,,"Patrick Chan,Rosanna Lee",Addison-Wesley Professional,October 21st 1997
828,XML and Java: Developing Web Applications [With CDROM],9780201485431,386,"Hiroshi Maruyama,Naohiko Uramoto,Kent Tamura",Addison-Wesley Professional,May 10th 1999
829,JBoss Seam: Simplicity and Power Beyond Java EE,9780131347960,402,Michael Juntao Yuan,Prentice Hall PTR,June 1st 2007
830,Beginning Java Objects: From Concepts to Code,9781590594575,916,Jacquie Barker,Apress,June 28th 2005
831,Java 2 Primer Plus,9780672324154,840,"Steven Haines,Stephen Potts",Sams,January 9th 2002
832,Professional Java Soap,9781861006103,544,Henry Bequet,Wrox Press,December 18th 2001
833,Xml And Java From Scratch,9780789724762,400,Nicholas Chase,Que,March 19th 2001
834,Java (Lonely Planet Guide),9780864427465,416,"Peter Turner,Lonely Planet",Lonely Planet Publications,November 1st 1999
835,Digital Audio with Java,9780130876768,512,Craig A. Lindley,Prentice Hall PTR,December 27th 1999
836,Java   Kurz & Gut,9783897215467,200,Patricia Liguori,O'Reilly Verlag,May 10th 2008
837,Professional Java Servlets 2.3,9781861005618,,"Andrew Harbourne-Thomas,Simon  Brown,Sam Dalton",Wrox Press,
838,Programación Java 7,,415,Rogers Cadenhead,Anaya,
839,Test-Driven Java Development,,284,"Viktor Farcic,Álex García",Packt Publishing,August 27th 2015
840,En dan is er... Java,9789039511046,542,Gertjan Laan,Academic Service,May 1999
841,Pemrograman Java Tingkat Lanjut,,320,Agus Kurniawan,Andi Publisher,2014
842,Developing Applications with Java? and UML,9780201702521,504,Paul R. Reed Jr.,Addison-Wesley Professional,November 24th 2001
843,Java for Bioinformatics and Biomedical Applications,9780387372358,342,Harshawardhan Bal,Springer,October 1st 2006
844,Java Programming for the Absolute Beginner,,528,Joseph P. Russell,Course Technology PTR,August 1st 2002
845,Java Performance and Scalability,9781478289128,254,Henry H. Liu,Createspace,July 1st 2012
846,A First Book of Java,9780534369231,623,Gary J. Bronson,Thomson Brooks/Cole,November 13th 2001
847,Java Programming on Linux,9781571691668,900,Nathan Meyers,Waite Group Press,December 22nd 1999
848,Java Program Design,9780071192552,904,"James P. Cohoon,Jack W. Davidson",McGraw-Hill Higher Education,January 1st 2004
849,Grundkurs Programmieren in Java,9783446416550,688,"Dietmar Ratz,Jens Scheffler,Detlef Seese,Jan Wiesenberger",Carl Hanser Verlag,February 4th 2010
850,Enterprise Java Beans 2.1,9781590590881,480,"Stefan Denninger,Ingo Peters,Rob Castaneda",Apress,April 8th 2003
851,Java Programming Step-By-Step,9780956575821,508,Tony Bevis,Ability First Limited,January 13th 2012
852,The Complete Java Training Course,9780130830555,,"Harvey M. Deitel,P. Deitel",Prentice Hall,June 1st 1999
853,Java Programming: Introductory,9780760010693,319,Joyce Farrell,Course Technology,October 22nd 1998
854,Java Programming: A Comprehensive Introduction Java Programming: A Comprehensive Introduction,9780078022074,1184,"Herbert Schildt,Dale Skrien",McGraw-Hill Science/Engineering/Math,January 20th 2012
855,"Java Programming: A Beginners Guide to Learning Java, Step by Step",,109,Troy Dimes,,January 16th 2015
856,"Beginning POJOs: Lightweight Java Web Development Using Plain Old Java Objects in Spring, Hibernate, and Tapestry (Novice to Professional)",9781590595961,424,Brian Sam-Bodden,Apress,January 1st 2006
857,JAVA: Java Programming Guide - Learn Java In 24 hours or less,,190,AFlexSystem,,August 22nd 2015
858,Java: Crash Course - The Ultimate Beginner's Course to Learning Java Programming in Under 12 Hours,,201,"Eprogramy,Java",,May 24th 2015
859,Thinking in Java with Experiments in Java: An Introductory Lab Manual.,,,Bruce Eckel,Prentice Hall,October 16th 2003
860,Handbook of Java Syntax: A Reference to the Java Programming Language,9781463718077,78,Mikael Olsson,Createspace,July 1st 2011
861,Simply Java: An Introduction to Java Programming [With CDROM],9781584504269,394,James Levenick,Charles River Media,September 8th 2005
862,Java Gems: Jewels from Java Report,9780521648240,248,Dwight Deugo,Sigs,February 13th 1998
863,Essence of Java: The No Nonsense Guide to Java Programming,9780393316612,,K.N. King,W. W. Norton & Company,June 1st 1997
864,Object-Oriented Data Structures In Java,9780763710798,824,DalefNell,"Jones and Bartlett Publishers, Inc.",May 1st 2002
865,An Introduction to Network Programming with Java: Java 7 Compatible,9781447152538,380,Jan Graba,Springer,August 19th 2013
866,Service-Oriented Java Business Integration,9781847194404,436,Binildas A Christudas,Packt Publishing,February 9th 2008
867,Java EE 7: The Big Picture,9780071837347,486,Danny Coward,McGraw-Hill/Osborne Media,October 1st 2014
868,Practical Ajax Projects with Java Technology,9781590596951,504,Frank Zammetti,Apress,August 1st 2006
869,.Net for Java Developers: Migrating to C#,9780672324024,689,Jawahar Puvvala,Addison-Wesley Professional,July 22nd 2003
870,Complete Java 2 Certification Study Guide,9780782127003,885,Simon Roberts,Sybex Inc,July 1999
871,Pro JSP 2 (Expert's Voice in Java),9781590595138,893,"Simon  Brown,Sam Dalton,Daniel Jepp,Dave Johnson,Sing Li,Matt Raible,Kevin Murkar",Apress,December 16th 2005
872,"JAVA: 2nd Edition! Beginner's Crash Course - Java for Beginners Guide to: Program Java, jQuery, & Java Programming (Java for Beginners, Learn Java, jQuery, ... Programming Language, Coding Book 1)",,138,Quick Start Guides,JAVA ~ READ FREE with KU SUBSCRIPTION OR PRIME MEMBERSHIP,August 23rd 2015
873,Java: Java,,,Mahi,,January 11th 2015
874,"Building Web Services with Java: Making Sense of XML, Soap, Wsdl, and UDDI",9780672321818,600,"Steve  Graham,Toufic Boubez,Simeon Simeonov",Sams,January 1st 2002
875,Seam Framework: Experience the Evolution of Java EE,9780137129393,473,"Michael Juntao Yuan,Thomas Heute,Jacob Orshalick",Prentice Hall PTR,February 14th 2009
876,TCP/IP Sockets in Java: Practical Guide for Programmers (The Practical Guides),9780123742551,177,"Kenneth L. Calvert,Michael J. Donahoo",Morgan Kaufmann Publishers,February 1st 2008
877,Real World Java Ee Patterns-Rethinking Best Practices,9781300149316,432,Adam Bien,Lulu.com,September 5th 2012
878,Data Structures and Algorithms with Object-Oriented Design Patterns in Java,9780471346135,656,Bruno R. Preiss,Wiley,August 2nd 1999
879,"Java: Programming Bootcamp The Crash Course for Understanding the Basics of Java Computer Language (FREE Bonus, Java 8, Java Programming For Beginners)",,48,"David Maxwell,Tim Spring,Eric Eclipse",,December 30th 2015
880,Introduction to Computing and Programming with Java: A Multimedia Approach,9780131496989,,Mark Guzdial,Prentice Hall,April 17th 2006
881,A Programmer's Guide to Java Certification: A Comprehensive Primer,9780201596144,688,Khalid A. Mughal,Addison-Wesley Professional,August 19th 1999
882,Java: Learning to Program with Robots [With CDROM],9780619217242,831,Byron Weber Becker,Course Technology,February 16th 2006
883,Pentaho Reporting 3.5 For Java Developers,9781847193193,384,Will Gorman,Packt Publishing,July 15th 2009
884,Java von Kopf bis Fuß,9783897214484,,"Bert Bates,Lars Schulten,Elke Buchholz",O'Reilly,
885,Battle Of The Java Sea,9780233960722,260,David Arthur Thomas,Deutsch,
886,Beginning Java ME Platform,9781430210610,569,Ray Rischpater,Apress,October 23rd 2008
887,Magic and Mystics of Java,9780900860393,212,Nina Epton,"Octagon Press, Limited",December 1st 1974
888,Java for Coldfusion Developers,9780130461803,692,Eben Hewitt,Prentice Hall PTR,January 7th 2003
889,Core Java Data Objects,9780131407312,576,Sameer Tyagi,Prentice Hall,September 21st 2003
890,Java and Flex Integration Bible,9780470400746,530,"Matthew Keefe,Charles A. Christiansen",John Wiley & Sons,March 1st 2009
891,Pro Java Programming,9781590594742,720,Brett Spell,Apress,June 1st 2005
892,Java Programming Basics,9781558284692,458,"Edith Au,Mark Mangan,Dave Makower,Pencom Web Works,Michael Wei,Linda DiSanto,Ellick Quach",Mis Pr,May 30th 1996
893,Micro Java Game Development,9780672323423,576,Roman Verhovsek,Addison-Wesley Professional,April 28th 2002
894,Java Language Reference,9781565923263,492,Mark Grand,O'Reilly Media,August 8th 1997
895,The Java Virtual Machine Specification,9780201634525,475,"Tim Lindholm,Frank Yellin",Addison Wesley Publishing Company,September 1st 1996
896,Java Programming: Comprehensive,9780760010709,687,Joyce M. Farrell,Course Technology,February 26th 1999
897,Java AWT Reference,9781565922402,1074,"John Zukowski,Mike Loukides",O'Reilly Media,April 8th 1997
898,Java Gui Development,9780672315466,684,Vartan Piroumian,Sams,August 25th 1999
899,Java 2 Bible,9780764508820,960,"Justin Couch,Daniel H. Steinberg",Wiley,April 15th 2002
900,Java Developer's Reference: With CDROM,9781575211299,1258,"Mike Cohn,Michael Morrison,Michael T. Nygard,Dan Joshi,Tom Trinko",Sams,October 1st 1996
901,Data Structures Using Java,9781449628086,544,Duncan A Buell,Jones & Bartlett Publishers,January 1st 2012
902,Java Servlets Developer's Guide,9780072222623,600,"Karl Moss,Michael Mueller,Lyssa Wald",McGraw-Hill/Osborne Media,February 21st 2002
903,Java Seriets Jsp,9788176565813,,Yashavant Kanetkar,,
904,House of Java: Vol. 2,9781561633296,96,Marcus Murphy,NBM Publishing,June 1st 2001
905,Java: An Eventful Approach,9780131424159,720,Kim Bruce,Pearson,August 8th 2005
906,Programming Finite Elements In Java,9781848829718,402,Gennadiy P. Nikishkov,Springer,January 1st 2010
907,Sprechen Sie Java?,9783898645959,348,Hanspeter Mössenböck,dpunkt Verlag,June 20th 2011
908,Java(tm) Native Interface: Programmer's Guide and Specification,9780201325775,320,Sheng Liang,Addison-Wesley Professional,June 20th 1999
909,Java 2 for Professional Developers,9780672316975,762,Mike  Morgan,Sams,July 1st 1999
910,Java in Plain English,9781558285637,704,Brian Overland,Wiley,October 14th 1997
911,Java Programming Guide for Beginners,,34,Programming and Tech League,,December 31st 2014
912,Java Application Development on Linux,9780131436978,567,"Carl Albing,Michael Schwarz",Prentice Hall PTR,October 1st 2004
913,Java Security Handbook,9780672316029,552,"Jamie Jaworski,Paul Perrone",Sams,September 21st 2000
914,Como Programar En Java,9789701700440,0,Harvey M. Deitel,Prentice Hall,December 28th 1997
915,Java Persistence with Jpa,9781432755850,390,Daoqi Yang,Outskirts Press,March 31st 2010
916,"The Domestication of Desire: Women, Wealth, and Modernity in Java",9780691016924,320,Suzanne April Brenner,Princeton University Press,July 21st 1998
917,"The Java Virtual Machine Specification, Java SE 7 Edition",9780133260441,608,"Tim Lindholm,Frank Yellin,Gilad Bracha,Alex Buckley",Prentice Hall,January 4th 2013
918,"The Java Virtual Machine Specification, Java Se 8 Edition",9780133922721,600,"Tim Lindholm,Frank Yellin,Gilad Bracha",Addison-Wesley Professional,May 3rd 2014
919,"Weaving a Website: Programming in HTML, Java Script, Perl and Java",9780130282200,747,Susan Anderson-Freed,Prentice Hall,August 6th 2001
920,Java Ee 7 Recipes: A Problem-Solution Approach,9781430244257,748,Josh Juneau,Apress,May 21st 2013
921,"Beginning JSP, Jsf and Tomcat: Java Web Development",9781430246237,436,Giulio Zambon,Apress,October 1st 2012
922,Ocejwcd Study Companion: Certified Expert Java Ee 6 Web Component Developer (Oracle Exam 1z0-899),9780955160349,682,Charles Lyons,Garner Press,August 15th 2012
923,Starting Out with Java: From Control Structures Through Objects [With CDROM],9780321479273,987,Tony Gaddis,Addison Wesley Publishing Company,January 27th 2007
924,Great Ideas in Computer Science with Java,9780262024976,563,Alan W. Biermann,Mit Press,November 9th 2001
925,Tantric Temples: Eros and Magic in Java,9780892541690,367,Peter Levenda,Ibis Press,November 1st 2011
926,Concurrent and Real-Time Programming in Java,9780470844373,446,Andrew Wellings,Wiley,November 1st 2004
927,Mastering Java 1.2 [With Packed with Java Tools & Utilities],9780782121803,1200,John Zukowski,Sybex,August 1st 1998
928,Harnessing Java 7 (A Comprehensive Approach to Learning Java),,619,Kishori Sharan,Amazon,January 14th 2012
929,"Wicked Cool Java: Code Bits, Open-Source Libraries, and Project Ideas",9781593270612,304,Brian D. Eubanks,No Starch Press,November 25th 2005
930,Learn to Program with Minecraft Plugins: Create Flying Creepers and Flaming Cows in Java,9781937785789,200,Andy Hunt,The Pragmatic Bookshelf,March 3rd 2014
931,The Cucumber for Java Book: Behaviour-Driven Development for Testers and Developers,9781941222294,338,"Seb Rose,Matt Wynne,Aslak Hellesoy",Pragmatic Bookshelf,February 16th 2015
932,Java: Easy and step by step JAVA Html progamming for beginners,,38,S. J. Cole,,November 30th 2014
933,Oca Java Se 7 Programmer I Study Guide (Exam 1z0-803),9780071789448,576,"Robert Liguori,Edward Finegan",McGraw-Hill Education,September 22nd 2012
934,Sun Certified Programmer & Developer for Java 2 Study Guide (Exam 310-035 & 310-027),783254041233,752,"Kathy Sierra,Bert Bates",McGraw-Hill Osborne Media,December 11th 2002
935,Java,9780333791851,,Colin McCormack,,
936,Java,9780135101230,295,"Insight Guides,Peter Hutton",Prentice Hall,May 1st 1983
937,Inside Indonesian Society: Cultural Change in Java,9789054960263,240,Niels Mulder,The Pepin Press,September 15th 1997
938,Pro Java EE 5 Performance Management and Optimization,9781590596104,397,Steven Haines,Apress,April 1st 2006
939,"Graphic Java 2, Volume 1, AWT",9780130796660,,David M. Geary,Prentice Hall PTR,January 1st 1998
940,Programming with Java,,480,E. Balagurusamy,McGraw Hill Education (India) Private Limited,July 30th 2014
941,Java Essay,,342,Masatoshi Iguchi,Troubador Publishing Ltd,January 28th 2015
942,کلید Java,,96,"علی قنبری سرخی,رضا خلیلی",کلید آموزش,
943,Java Performance,,717,"Hunt Charlie,John Binu",Addison-Wesley Professional,October 4th 2011
944,Object-Oriented Software Engineering: Practical Software Development Using UML and Java,9780072834956,497,"Timothy Lethbridge,Robert Laganiere",McGraw-Hill Science/Engineering/Math,May 16th 2002
945,Orchids of Java,9789995175900,,J.B. Comber,American Orchid Society,December 1st 1990
946,Java by Dissection,9780201725964,509,"Ira Pohl,Charlie McDowell",Addison Wesley Publishing Company,December 15th 2000
947,Java 1.1,9780078824364,1028,"Patrick Naughton,Herbert Schildt",Osborne Publishing,November 28th 1997
948,Instant Messaging in Java: The Jabber Protocols,9781930110465,402,"Iain Shiegoka,Iain Shiegoka",Manning Publications,April 1st 2002
949,Java 1.1 Certification Study Guide [With *],9780782120691,720,"Simon Roberts,Philip Heller",Sybex,September 1st 1997
950,"Scripting in Java: Languages, Frameworks, and Patterns",9780321321930,528,Dejan Bosanac,Addison-Wesley Professional,August 1st 2007
951,Professional Java Development with the Spring Framework,9780471748946,676,"Rod Johnson,Thomas Risberg,Colin Sampaleanu,Jürgen Höller,Alef Arendsen",Wrox Press,September 26th 2005
952,Web Services Patterns: Java Edition,9781590590843,352,Paul B. Monday,Apress,April 8th 2003
953,Programming with Java: A Multimedia Approach [With CDROM],9781449638610,698,Radhika S Grover,Jones & Bartlett Publishers,October 20th 2011
954,Java Coding Guidelines: 75 Recommendations for Reliable and Secure Programs,9780321933157,304,"Fred Long,Dhruv Mohindra,Robert C. Seacord,Dean F. Sutherland,David Svoboda",Addison-Wesley Professional,September 9th 2013
955,"Java Practice Questions: Oracle Certified Professional, Java SE 7 Programmer (OCPJP)",9781484884744,356,Esteban Herrera,CreateSpace Independent Publishing Platform,June 4th 2013
956,"Opium to Java: Revenue Farming and Chinese Enterprise in Colonial Indonesia, 1860-1910",9789793780498,296,James R. Rush,Equinox Publishing (Indonesia),January 31st 2007
957,Data Structures and Algorithms Made Easy in Java: Data Structure and Algorithmic Puzzles,,420,Narasimha Karumanchi,CreateSpace Independent Publishing Platform,September 14th 2011
958,"JAVA: JAVA for Beginners - The Quick and Simple Way to Learn JAVA - Programming Language for JAVA: JAVASCRIPT: Java Programming (Web Site Design, Programming ... and Technology, HTML 5, JAVA Book 1)",,67,"David Lawfield,Javascript Programming",,April 30th 2015
959,C# for Java Programmers,9781931836548,608,"Harold Cabrera,Jeremy Faircloth,Stephen Goldberg",Syngress Publishing,August 9th 2002
960,Developing Mainframe Java Applications,9780471415282,464,Lou Marco,John Wiley & Sons,August 1st 2001
961,Java: The Complete Reference,9780078822315,886,"Patrick Naughton,Herbert Schildt",Osborne Publishing,December 1st 1996
962,Rescued By Java (Rescued By Series),9781884133657,,Kris Jamsa,,
963,Java Persistence for Relational Databases,9781590590713,368,Richard Sperko,Apress,July 2nd 2003
964,Java Messaging (Programming Series),9781584504184,480,Eric Bruno,Cengage Learning,November 7th 2005
965,Java Ee 5,9782212123630,351,"Antonio Goncalves,Louis Dewez",Eyrolles,2008
966,The Java Web Services Tutorial,9780201768114,528,"Eric Armstrong,Maydene Fisher,Kim Haase,Dale Green,Debbie Carson",Pearson Education,March 15th 2002
967,SCJD Exam with J2SE 5 (Expert's Voice in Java),9781590595169,342,"Andrew Monkhouse,Terry Camerlengo",Apress,December 13th 2005
968,Ruby on Rails for PHP and Java Developers,9783540731443,394,Deepak Vohra,Springer,September 1st 2007
969,"Web Enabled Commercial Application Development Using Html, Java Script",9788176562744,,Ivan Bayross,,
970,Hibernate Made Easy: Simplified Data Persistence with Hibernate and Jpa (Java Persistence API) Annotations,9780615201955,442,"Cameron W. McKenzie,Kerri Sheehan",Pulpjava,April 25th 2008
971,OCAJP Oracle Certified Associate Java SE 7 Programmer Practice Exams,,2735,Hanumant Deshmukh,Enthuware,September 1st 2012
972,RESTful Java Patterns and Best Practices,,152,Bhakti Mehta,Packt Publishing,September 19th 2014
973,Learning Reactive Programming with Java 8,,184,Nickolay Tsvetinov,Packt Publishing,June 24th 2015
974,The Java? Tutorial Continued: The Rest of the JDK?,9780201485585,976,"Mary Campione,Kathy Walrath,Alison Huml",Addison-Wesley Professional,January 1st 1999
975,Professional Eclipse 3 for Java Developers,9780470020050,600,Berthold Daum,Wrox Press,November 12th 2004
976,The Complete Idiot's Guide To Java Script,9780789711366,,"Aaron Weiss,Scotty Walter",Que,
977,Manuale Di Java 7: Programmazione Orientata Agli Oggetti Con Java Standard Edition 7,9788820344771,618,Claudio De Sio Cesari,U. Hoepli,2011
978,Enterprise Java for SAP,9781590590980,320,Austin Sincock,Apress,July 25th 2003
979,Professional Java Xml,9781861004017,,"Kal Ahmed,Andrei Cioroianu",Wrox Press,April 26th 2001
980,Java Web Development Illuminated,9780763734237,702,"Kai Qian,Robert Brown",Jones & Bartlett Publishers,July 25th 2006
981,Java 2 by Example,9780789722669,544,Geoff Friesen,Que,December 1st 1999
982,Trik Pemrograman Java untuk Jaringan dan Internet,9789792017182,190,"Onno W. Purbo,Cokorda Raka Angga J.,Asfira Sagitri",Elex Media Komputindo,2000
983,Beginning Java Programming,,134,Iducate Learning Technologies,,June 13th 2012
984,"The British in Java, 1811-1816: A Javanese Account",9780197260623,672,"Peter  Carey,John Villiers","Oxford University Press, USA",April 9th 1992
985,Java Basics,9780619059675,336,"Kenneth A. Lambert,Martin Osborne",Cengage Learning,May 14th 2002
