_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_publisher,ltable_ISBN13,ltable_publishedYear,ltable_publishedMonth,ltable_pages,rtable_title,rtable_authors,rtable_publisher,rtable_ISBN13,rtable_publishedYear,rtable_publishedMonth,rtable_pages,gold
2906495,2044,628,Java Jack,"Luqman Keele,Daniel Pinkwater",HarperCollins Children's Books,9780690039962,1980,4,160,Java Jack,"Luqman Keele,Daniel Pinkwater",Harpercollins,9780690039960,1980,4,152,1
2925461,2056,1851,The Java Language Specification / Edition 3,"James Gosling,Bill Joy,Guy L. Steele Jr.,Gilad Bracha,Guy L. Steele",Addison-Wesley,9780321246783,2005,6,688,"The Java Language Specification, Java Se 7 Edition","James Gosling,Bill Joy,Guy L Jr Steele",Addison-Wesley Professional,9780133260300,2013,2,672,0
2934551,2061,1837,Java Pocket Guide: Instant Help for Java Programmers,Liguori,"O'Reilly Media, Incorporated",9781491938690,2017,2,256,Java Pocket Guide: Instant Help for Java Programmers,Liguori,O'Reilly Media,9781491938690,2017,2,256,1
2935766,2062,1097,"Sams Teach Yourself Java 2 in 21 Days, Second Edition","Laura Lemay,Rogers Cadenhead",Sams,9780672319587,2000,9,650,Sams Teach Yourself Java 2 in 21 Days (4th Edition),"Rogers Cadenhead,Laura Lemay",Sams,9780672326290,2004,5,840,0
2949626,2073,1857,Real-Time Java Platform Programming,"Peter C. Dibble,Peter C. Dibble",Pearson Education,9780130282613,2002,3,352,Real-Time Java Programming: With Java Rts,"Eric Bruno,Greg Bollella",Prentice Hall Professional,9780137042560,2009,6,431,0
2962346,2080,2203,Oracle Database 11g PL/SQL Programming / Edition 1,Michael McLaughlin,McGraw-Hill Professional Publishing,9780071494458,2008,3,835,Oracle Database 11g PL/SQL Programming,Michael McLaughlin,McGraw-Hill/Osborne Media,9780071494460,2008,4,835,1
2965334,2083,2013,Beginning C# 5.0 Databases,Vidya Vrat Agarwal,Apress,9781430242604,2012,8,440,Beginning C# Databases,"Morgan Skinner,Jon Reid",Wrox Press,9781861006100,2002,7,656,0
2965869,2083,3610,Beginning C# 5.0 Databases,Vidya Vrat Agarwal,Apress,9781430242604,2012,8,440,Beginning VB 2005 Databases,James Huddleston,James Huddleston,9781430203960,2007,1,502,0
2977649,2092,2415,OCA Oracle Database 12c Installation and Administration Exam Guide (Exam 1Z0-062),John Watson,McGraw-Hill Education,9780071831277,2014,5,768,OCA Oracle Database 11g Administration I Exam Guide (Exam 1Z0-052): Administration 1 Exam Guide,John    Watson,McGraw-Hill Osborne,9780071591030,2008,6,733,0
2992661,2102,2593,Database Applications Using PROLOG,Robert Lucas,Prentice Hall Professional Technical Reference,9780470211663,1988,10,159,Database Applications Using PROLOG,Robert Lucas,Ellis Horwood,9780470211660,1988,10,159,0
3013269,2120,3250,Online Bibliographic Databases,Gale Research Incorporated,Cengage Gale,9780810305304,1983,5,383,Online Bibliographic Databases,J L Hall,Gale Cengage,9780810305300,1983,5,383,1
3017431,2123,1641,An Introduction to Database Systems,C.J. J. Date,Addison-Wesley,9780201144710,1981,5,704,An Introduction to Database Systems,Bipin C. Desai,West Publishing Company,9780314667720,1997,7,820,0
3076475,2168,2302,Teradata Database: Introduction and SQL,unknown,Education in Parallel,9780966549331,2000,3,464,The Teradata Database:  Introduction And Sql,Brian Marshall,Education In Parallel,9780966549330,2000,3,464,1
3086811,2174,2972,Physical Database design Using Oracle,"Donald K. Burleson,Burleson K. Burleson",Taylor & Francis,9780849318177,2003,11,0,Physical Database Design Using Oracle,Burleson K.,Taylor & Francis Group,9780203506230,2004,6,264,0
3097193,2181,2908,"Biodiversity Databases: Techniques, Politics, and Applications","Gordon B. Curry,Chris J. Humphries",Taylor & Francis,9780415332903,2007,4,208,"Biodiversity Databases: Techniques, Politics, and Applications","Gordon B. Curry,Gordon B. Curry",CRC Press,9780415332900,2007,4,193,1
3117662,2197,2046,Concurrency Control and Recovery in Database Systems / Edition 1,Philip Bernstein,Addison-Wesley,9780201107159,1987,4,383,Concurrency Control and Recovery in Database Systems,Philip A. Bernstein,Addison Wesley Publishing Company,9780201107160,1987,1,370,1
3194318,2251,2193,Principles and Practice of Database Systems,S. M. Deem,"Scholium International, Inc.",9780333371008,1985,12,404,Principles of Relational Database Systems,Sitansu S. Mittra,Prentice Hall,9780137167970,1991,1,323,0
3209613,2262,3251,Databases and Information Systems VII,"A. Caplinskas,G. Dzemyda,A. Lupeikiene,O. Vasilecas","IOS Press, Incorporated",9781614991601,2013,1,400,Advances in Databases and Information Systems,"Tadeusz Morzy,Robert Wrembel",Springer,9781283912270,2013,1,314,0
3221123,2273,3422,Practical Oracle Security: Your Unauthorized Guide to Relational Database Security,"Josh Shaul,Aaron Ingram",Elsevier Science,9781597491983,2007,11,288,Practical Oracle Security: Your Unauthorized Guide to Relational Database Security,"Josh Shaul,Aaron Ingram",Syngress Publishing,9781597491980,2007,11,247,1
3234305,2281,3643,Statistical and Scientific Database Management,"M. Rafanelli,J. C. Klensin,P. G. Svensson","Springer-Verlag New York, LLC",9780387505756,1989,3,454,Statistical and Scientific Databases,Zbigniew Michalewicz,Ellis Horwood,9780138506520,1991,1,532,0
3243599,2289,3023,Databases: From Relational to Object-Oriented Systems,"Claude Delobel,Christophe Lecluse,Phillipe Richard",Cengage Learning,9781850321248,1994,9,382,Databases: From Relational to Object-Oriented Systems,"Claude Delobel,Christophe Decluse,Phillippe Richard",International Thomson Computer Press,9781850321250,1994,9,382,1
3263200,2304,2367,OCP Oracle Database 12c Advanced Administration Exam Guide (Exam 1Z0-063),Bob Bryla,McGraw-Hill Education,9780071830058,2015,6,752,OCP Oracle Database 11g Administration II Exam Guide: Exam 1Z0-053 (Oracle Press),Bob Bryla,McGraw-Hill Osborne,9780071597100,2009,2,752,0
3272451,2311,2201,Expert Oracle Database 10g Administration / Edition 1,Sam Alapati,Apress,9781590594513,2005,9,1304,Expert Oracle Database 10g Administration,Sam R. Alapati,Apress,9781590594510,2006,3,1276,1
3370033,2390,1983,Database Design,Gio C. Wiederhold,McGraw-Hill Higher Education,9780070701304,1977,1,658,Grid Database Design,April J. Wells,Auerbach Publications,9780849328010,2005,5,287,0
3370095,2390,2095,Database Design,Gio C. Wiederhold,McGraw-Hill Higher Education,9780070701304,1977,1,658,Data Analysis for Database Design,David Howe,Butterworth-Heinemann,9780750650860,2001,6,336,0
3390640,2405,3521,Oracle: A Database Developer's Guide,"Ulka Rodgers,Ed Yourdon",Simon & Schuster Adult Publishing Group,9780138414207,1998,12,425,Oracle Database 10g: A Beginner's Guide,"Abramson,Michael Abbey,Michael Corey",McGraw-Hill Education,9780071706770,2004,4,416,0
3396480,2410,3557,Real-Time Database Systems: Architecture and Techniques,"Kam-Yiu Lam,Tei-Wei Kuo",Springer US,9781475784022,2013,12,0,Real-Time Database Systems: Architecture and Techniques,"Kam-Yiu Lam,Tei-Wei Kuo",Springer,9781475784020,2013,3,289,1
3419057,2425,2193,Principles of Distributed Database Systems,Patrick Valduriez,Prentice Hall Professional Technical Reference,9780136916437,1990,10,528,Principles of Relational Database Systems,Sitansu S. Mittra,Prentice Hall,9780137167970,1991,1,323,0
3438349,2441,2646,Elements of Relational Database Design,David C. Hopkins,Trafford Publishing,9781425182809,2010,6,128,Elements of Relational Database Design,David C. Hopkins,Trafford Publishing,9781425182810,2010,6,128,1
3470722,2465,2848,Beginning Database Design: From Novice to Professional,Clare Churcher,Apress,9781430242093,2012,6,252,Beginning C# Databases: From Novice to Professional,"James Huddleston,Scott Allen,Ranga Raghuram",Apress,9781590594340,2004,11,648,0
3479582,2471,2179,Oracle Database 11g PL/SQL Programming Workbook / Edition 1,"Michael McLaughlin,John Harper,Harper John",McGraw-Hill Professional Publishing,9780071493697,2010,1,512,Oracle Database 11g PL/SQL Programming Workbook,"Michael McLaughlin,John M. Harper",McGraw-Hill/Osborne Media,9780071493700,2010,2,478,1
3490710,2480,3055,Programming the Perl DBI: Database programming with Perl,"Tim Bunce,Alligator Descartes","O'Reilly Media, Incorporated",9781565926998,2000,2,366,Programming the Perl DBI: Database Programming with Perl,"Tim Bunce,Alligator Descartes",O'Reilly Media,9781449315370,2000,2,255,0
3495423,2484,2123,SQL Database for Beginners,"Mr. Martin Holzke,Mr. Tom Stachowitz","LearnToProgram, Incorporated",9780990402077,2014,11,422,SQL Database for Beginners,"Martin Holzke,Tom Stachowitz","LearnToProgram, Incorporated",,2014,11,423,1
3508489,2494,2482,Next Generation Databases: NoSQLand Big Data,Guy Harrison,Apress,9781484213308,2015,12,235,Next Generation Databases: Nosqland Big Data,Guy Harrison,Apress,9781484213310,2015,12,235,1
3514717,2498,2488,Concise Guide to Databases: A Practical Introduction,"Peter Lake,Paul Crowther",Springer London,9781447156000,2013,12,307,Concise Guide to Databases: A Practical Introduction,"Peter Lake,Paul Crowther",Springer,9781447156000,2013,12,307,1
3534375,2511,1654,Seven Databases in Seven Weeks: A Guide to Modern Databases and the NoSQL Movement,"Eric Redmond,Jim R. Wilson","Pragmatic Programmers, LLC, The",9781934356920,2012,5,352,Seven Databases in Seven Weeks: A Guide to Modern Databases and the NoSQL Movement,"Eric  Redmond,Jim R. Wilson",Pragmatic Bookshelf,9781934356920,2012,5,352,1
3535992,2512,2828,SQL (Database Programming),Chris Fehily,Questing Vole Press,9781937842314,2014,7,410,SQL Tricks (Advanced Database Programming),Chris Fehily,Questing Vole Press,9781937842320,2014,8,120,1
3538637,2514,2206,Oracle Database 12c The Complete Reference / Edition 1,"Bob Bryla,Kevin Loney",McGraw-Hill Professional Publishing,9780071801751,2013,9,1472,Oracle Database 11g: The Complete Reference,Kevin Loney,McGraw-Hill/Osborne Media,9780071598750,2009,1,1334,0
3549268,2520,2165,Oracle Database 12c New Features,Robert G. Freeman,McGraw-Hill Professional Publishing,9780071799317,2013,12,480,Oracle Database 11g New Features,"Tom Kyte,Tom Kyte",McGraw-Hill/Osborne Media,9780071496610,2007,11,362,0
3574735,2537,2353,Oracle Database 11g & MySQL 5.6 Developer Handbook,Michael McLaughlin,McGraw-Hill Professional Publishing,9780071768856,2011,9,608,Oracle Database 11g & MySQL 5.6 Developer Handbook,Michael McLaughlin,McGraw-Hill/Osborne Media,9780071768860,2011,10,578,1
3595505,2551,3496,"DB2 9.7 for Linux, UNIX, and Windows Database Administration: Certification Study Notes",Roger E. Sanders,Mc Press,9781583473672,2011,11,160,"DB2 9 for Linux, UNIX, and Windows Database Administration: Certification Study Guide",Roger E. Sanders,Mc Press,9781583470770,2007,10,880,0
3602795,2555,3069,"OCA/OCP Oracle Database 12c All-in-One Exam Guide (Exams 1Z0-061, 1Z0-062, & 1Z0-063)","John Watson,Roopesh Ramklass,Bob Bryla",McGraw-Hill Professional Publishing,9780071828086,2015,8,1072,"OCA/OCP Oracle Database 11g All-in-One Exam Guide with CD-ROM: Exams 1Z0-051, 1Z0-052, 1Z0-053 (Oracle Press)","John    Watson,Bob Bryla,Roopesh Ramklass",McGraw-Hill Osborne Media,9780071629190,2009,8,1050,0
3651100,2584,2182,"Database Systems: A Practical Approach to Design, Implementation, and Management / Edition 6","Thomas Connolly,Carolyn Begg",Pearson,9780132943260,2014,1,1440,"Database Systems: A Practical Approach to Design, Implementation and Management",Thomas Connolly,Addison Wesley Longman,9780201708580,2001,8,848,0
3667402,2595,2816,Oracle Database 12c Release 2 Performance Tuning Tips & Techniques,Richard Niemiec,McGraw-Hill Professional Publishing,9781259589683,2017,3,848,Oracle Database 11g Performance Tuning Recipes,"Sam Alapati,Darl Kuhn,Bill Padfield",Apress,9781430236630,2011,1,583,0
3692962,2612,1995,Pro Oracle Database 12c Administration / Edition 2,Darl Kuhn,Apress,9781430257288,2013,7,756,Pro Oracle Database 12c Administration,Darl Kuhn,Apress,9781430257290,2013,7,756,1
3703780,2619,365,Sams Teach Yourself Beginning Databases in 24 Hours,"Ryan Stephens,Ron Plew",Sams,9780672324925,2003,1,480,Sams Teach Yourself Java 2 in 24 Hours,Rogers Cadenhead,Sams,9780672324600,2002,10,552,1
3756559,2656,3156,Database System Concepts,"Henry F. Korth,Abraham Silberschatz","McGraw-Hill Companies, The",9780070447547,1991,1,630,Database Concepts,James A Bates,Kendall/Hunt Publishing Company,9780757506840,2003,12,352,0
3769041,2665,3720,Concepts of Database Management / Edition 6,"Philip J. Pratt,Joseph J. Adamski",Cengage Learning,9781423901471,2007,8,400,Aise Concepts of Database Management,"Joseph J. Adamski,Philip J. Pratt",Cengage Learning,9781133191320,2011,9,432,0
3830997,2714,2857,"DB2 9 for Linux, UNIX, and Windows Advanced Database Administration Certification: Certification Study Guide","Roger E. Sanders,Dwaine R Snow",Mc Press,9781583470800,2008,11,650,"DB2 9.7 for Linux, UNIX, and Windows Database Administration: Certification Study Notes",Roger E. Sanders,Mc Press,9781583473670,2011,11,160,0
3836723,2719,3331,Upgrading Relational Databases with Objects,Robert Vermeulen,SIGS,9780135706077,1997,12,0,Upgrading Relational Databases with Objects,"Robert Vermeulen,Robert Vermulen",Sigs,9780135706080,1997,12,234,1
3858362,2736,2237,"Database Processing: Fundamentals, Design, and Implementation / Edition 9",David Kroenke,Pearson,9780131015142,2003,3,720,"Database Processing: Fundamentals, Design, and Implementation",David M. Kroenke,Prentice Hall,9780131672670,2005,2,696,0
3860741,2737,3186,DNA Databases,Lauri R Harding,Greenhaven Publishing,9780737736007,2007,8,100,DNA Databases,Lauri R. Harding,Greenhaven Press,9780737735990,2007,8,100,0
3871573,2745,3097,Database Developer's Guide with Delphi 2,Ken Henderson,Sams,9780672308628,1995,11,912,Database Developer's Guide with Visual C++ 4,"Peter Hipson,Roger Jennings",Sams Publishing,9780672309140,1996,6,1000,0
3908669,2772,2154,Oracle Database 10g Rman Backup & Recovery / Edition 1,"Matthew Hart,Robert G. Freeman,Hart Matthew",McGraw-Hill Osborne Media,9780072263176,2006,11,666,Oracle Database 10g RMAN Backup & Recovery,"Matthew Hart,Robert G. Freeman",McGraw-Hill Education,9780072263180,2006,11,666,1
3930097,2786,3741,Advances in Databases and Information Systems,"Tadeusz Morzy,Theo Harder,Robert Wrembel",Springer Berlin Heidelberg,9783642327407,2012,8,2013,Advances in Databases and Information Systems,"Leonid Kalinichenko,Leonid Kalinichenko",Springer,9783540200480,2003,9,430,0
3942661,2794,3034,"Building Intelligent Databases with Oracle PL/SQL, Triggers, and Stored Procedures","Kevin T. Owens,Kevin T. Owens",Prentice Hall Professional Technical Reference,9780137943142,1997,12,560,Building Intelligent Databases with Oracle PL/SQL [With Disk],Kevin T. Owens,Prentice Hall,9780137943140,1998,1,544,1
3944608,2795,3162,Database Book,Narain Gehani,Silicon Press,9780929306353,2006,8,0,The Database Book,Mary E. S. Loomis,MacMillan Publishing Company,9780023717600,1986,10,465,0
3944655,2795,3270,Database Book,Narain Gehani,Silicon Press,9780929306353,2006,8,0,A Pascal Database Book,"Julian Ullmann,Julian Ullman","Oxford University Press, USA",9780198596420,1986,2,280,0
3947625,2797,2975,"Database Systems: Concepts, Management and Application","Alden Lorents,James Morgan",Harcourt College Publishers,9780155000292,1997,12,736,"Database Systems: Concepts, Management, and Applications","Alden C. Lorents,Lorents, Alden / Morgan, James Lorents, Alden / Morgan, James",Dryden Press,9780155000290,1997,11,736,1
3954259,2802,2854,Study Guide for 1Z0-061: Oracle Database 12c: SQL Fundamentals: Oracle Certification Prep,Matthew Morris,CreateSpace Publishing,9781492323891,2013,9,160,Study Guide for 1Z0-051: Oracle Database 11g: SQL Fundamentals I,Matthew Morris,CreateSpace Independent Publishing Platform,9781475204670,2012,4,144,0
4036578,2861,3274,Developing Databases with Access,Wayne S. Freeze,"O'Reilly Media, Incorporated",9780596101466,2007,4,504,Developing Databases with Access,Wayne Freeze,O'Reilly Media,9780596101470,2007,4,504,1
4060339,2883,2201,Oracle Database Administration,"David C. Kreines,Brian Laskey","O'Reilly Media, Incorporated",9781565925168,1999,4,582,Expert Oracle Database 10g Administration,Sam R. Alapati,Apress,9781590594510,2006,3,1276,0
4085574,2899,3710,Cases On Database Technologies And Applications,Mehdi Khosrow-Pour,IGI Global,9781599043999,2006,4,308,Cases on Database Technologies and Applications,Mehdi Khosrow-Pour,Idea Group Publishing,9781280376740,2006,1,306,1
4090355,2903,2182,"Database Systems: Design, Implementation and Management, Sixth Edition / Edition 6","Peter Rob,Carlos Coronel,Carlos Coronel",Cengage Learning,9780619213237,2004,1,794,"Database Systems: A Practical Approach to Design, Implementation and Management",Thomas Connolly,Addison Wesley Longman,9780201708580,2001,8,848,0
4098428,2910,2155,Database Management,"David Stamper,Wilson Price","McGraw-Hill Companies, The",9780079096975,1990,2,466,Essentials of Database Management,"Jeffrey A. Hoffer,Heikki Topi,Ramesh Venkataraman",Prentice Hall,9780133405680,2013,6,378,0
4098460,2910,2202,Database Management,"David Stamper,Wilson Price","McGraw-Hill Companies, The",9780079096975,1990,2,466,Database Management Systems,"Raghu Ramakrishnan,Ramakrishnan",McGraw Hill Higher Education,9780071231510,2002,9,936,0
4098750,2910,2738,Database Management,"David Stamper,Wilson Price","McGraw-Hill Companies, The",9780079096975,1990,2,466,Database Management Through dBASE,"Robert T. Grauer,Maryann Barber",McGraw-Hill Companies,9780070241400,1988,11,392,0
4099067,2910,3381,Database Management,"David Stamper,Wilson Price","McGraw-Hill Companies, The",9780079096975,1990,2,466,Quick Guide to Database Management,"Jeffrey R. Stewart,Jeffrey R. Stewart Jr.,Nancy Melesco,Sandra McMinnis",McGraw-Hill Companies,9780070615040,1989,3,160,0
4108914,2918,2095,Database Design,Ryan Stephens,Pearson Education,9780134306568,2000,11,528,Data Analysis for Database Design,David Howe,Butterworth-Heinemann,9780750650860,2001,6,336,0
4123917,2928,1995,Pro Oracle Database 11g Administration / Edition 1,Darl Kuhn,Apress,9781430229704,2010,12,720,Pro Oracle Database 12c Administration,Darl Kuhn,Apress,9781430257290,2013,7,756,0
4126874,2930,3465,Contemporary Issues In Database Design And Information Systems Development,Keng Siau,IGI Global,9781599042893,2007,4,344,Contemporary Issues in Database Design and Information Systems Development,"Keng Siau,Keng Siau",Idea Group Reference,9781599042890,2007,4,331,1
4137354,2937,2436,The Accuracy Of Spatial Databases,Michael F. Goodchild,Taylor & Francis,9780850668476,1989,12,308,The Accuracy of Spatial Databases,"Goodchild F. Goodchild,Goodchild F. Goodchild",CRC Press,9780850668480,1989,12,308,1
4150266,2947,2398,Database Management Through DBase,"Robert T. Grauer,Maryann Barber","McGraw-Hill Companies, The",9780070241404,1988,10,392,Database Management,George Diehr,Pearson Scott Foresman,9780673188200,1989,1,418,0
4180002,2969,3216,Blackstone's Police Operational Handbook 2013: Law,Police National Legal Database (PNLD),OUP Oxford,9780191649974,2012,9,0,Blackstone's Police Operational Handbook 2016: Law & Practice and Procedure Pack,"Police National Legal Database (PNLD),Ian Bridges,Fraser Sampson,Clive Harfield","Oxford University Press, USA",9780198743390,2015,12,1616,0
4180144,2969,3486,Blackstone's Police Operational Handbook 2013: Law,Police National Legal Database (PNLD),OUP Oxford,9780191649974,2012,9,0,Blackstone's Police Operational Handbook 2011: Law,Police National Legal Database (PNLD),"Oxford University Press, USA",9780199595200,2011,3,912,1
4188406,2975,1748,Java Database Programming: Servlets and JDBC,"Alan Williamson,D. G. Williamson,Ceri Moran",Prentice Hall Professional Technical Reference,9780137379170,1997,11,439,Java Database Programming,"Alan R. Williamson,Ceri Moran,D.G. Williamson",Prentice Hall PTR,9780137379170,1997,11,439,1
4195812,2980,3669,Object-Oriented Databases,John G. Hughes,Prentice Hall Professional Technical Reference,9780136298823,1991,1,350,Object-Oriented Databases,Donald K. Burleson,QED Information Sciences,9780894354820,1994,1,350,0
4270026,3037,2037,Database Concepts,"Dennis W. Fife,Donald Deutsch",South-Western,9780538109604,1986,3,304,Database System Concepts,"Hank Korth,Hank Korth",McGraw-Hill Companies,9780070447520,1986,6,546,0
4292214,3057,2982,Visual Basic 5 Database How-To,Dennis Kennedy,Sams,9781571691040,1997,12,1068,Visual Basic 4 Database How to,"Stuart Bloom,Don Kiely",Waite Group Press,9781878739940,1995,10,835,0
4293169,3058,2146,Oracle Database 11g - Underground Advice for Database Administrators: Beyond the basics,April C. Sims,Packt Publishing,9781849680011,2010,4,348,Oracle Database 11g Underground Advice For Database Administrators,April Sims,Packt Publishing,9781849680000,2010,4,348,1
4298263,3063,2005,Data Mining in Time Series Databases,"Abraham Kandel,Mark Last,Horst Bunke","World Scientific Publishing Company, Incorporated",9789812382900,2004,11,204,Data Mining in Time Series Databases,Mark Last,World Scientific Publishing Company,9789812382900,2004,6,192,1
4309856,3074,2309,Instant Access Databases,Greg Buczek,McGraw-Hill Professional,9780072130768,2000,12,759,Instant Access Databases [With CDROM],Greg Buczek,McGraw-Hill Companies,9780072130770,2000,12,759,0
4318226,3081,3018,OCP Oracle9i Database: New Features for Administrators Exam Guide,"Daniel Benjamin,Jason Couchman,Daniel Benkamin","McGraw-Hill Companies, The",9780072195309,2002,3,396,OCP Oracle9i Database: New Features for Administrators Exam Guide,Daniel Benjamin,Osborne/McGraw-Hill,9780072195310,2002,3,432,1
4367105,3118,3726,Management of Geological Databases,Joseph Frizado,Elsevier Science & Technology Books,9780080379517,1992,10,250,Management Of Geological Databases,Joseph Frizado,Pergamon,9780080379520,1992,10,250,1
4376672,3124,2866,Teradata Database - Introduction and SQL,Brian Marshall,Education in Parallel,9780966549300,1987,9,464,The Teradata Database:  Introduction And Sql,Brian R. Marshall,Education in Parallel,9780966549300,1987,9,464,1
4385563,3132,2591,"Database Systems , Design, Implementation and Management","CTI Reviews,Peter Rob",Cram101,9781467284004,2016,9,58,Database Design and Implementation,"Shouhong Wang,Hai Wang",Universal Publishers,9781612330150,2011,5,272,0
4405293,3149,2088,Oracle Database 11g New Features,"Robert G. Freeman,Tom Kyte",McGraw-Hill Professional Publishing,9780071496612,2007,11,362,Oracle Database 12c New Features,Robert Freeman,McGraw-Hill Education,9780071799320,2013,12,464,0
4478659,3207,1641,Introduction to Database Systems / Edition 8,C.J. Date,Pearson,9780321197849,2003,7,983,An Introduction to Database Systems,Bipin C. Desai,West Publishing Company,9780314667720,1997,7,820,0
4478668,3207,1653,Introduction to Database Systems / Edition 8,C.J. Date,Pearson,9780321197849,2003,7,983,An Introduction to Database Systems,C.J. Date,Pearson,9780321197850,2003,8,1024,1
4489548,3214,2608,Expert Database Systems,"Larry Kerschberg,George Mason University",Benjamin-Cummings Publishing Company,9780805303117,1988,10,700,Expert Database Systems,Keith G. Jeffery,Academic Press,9780123822550,1992,9,254,0
4512892,3232,2552,Beginning Visual Basic 6 Database Programming,"CONNELL,John Connell",Apress,9781861001061,1998,7,700,Beginning Visual Basic 6 Database Programming,John Connell,Apress,9781861001060,1998,8,880,1
4528214,3244,2873,Database: Technology and Management,Robert C. Goldstein,Wiley,9780471887379,1985,1,352,Database: Technology and Management,Robert C. Goldstein,Wiley,9780471887380,1985,1,352,1
4531753,3247,2537,Expert Oracle Indexing and Access Paths: Maximum Performance for Your Database,"Darl Kuhn,Sam Alapati,Bill Padfield",Apress,9781484219836,2016,9,220,Expert Indexing in Oracle Database 11g: Maximum Performance for Your Database,Darl Kuhn,Apress,9781430237360,2012,1,263,0
4549670,3261,1641,Logical Introduction to Databases,John Grant,"Oxford University Press, USA",9780155511750,1987,2,480,An Introduction to Database Systems,Bipin C. Desai,West Publishing Company,9780314667720,1997,7,820,0
4549679,3261,1653,Logical Introduction to Databases,John Grant,"Oxford University Press, USA",9780155511750,1987,2,480,An Introduction to Database Systems,C.J. Date,Pearson,9780321197850,2003,8,1024,0
4556597,3268,2196,Relational Database Systems,D. A. Bell,Elsevier Science & Technology Books,9780080340944,1986,10,470,Designing Relational Database Systems,Rebecca M. Riordan,Microsoft Press,9780735606340,1999,9,320,0
4556747,3268,2458,Relational Database Systems,D. A. Bell,Elsevier Science & Technology Books,9780080340944,1986,10,470,Relational Database Systems,Dan A. Simovici,Academic Press,9780126443750,1995,8,485,0
4619335,3318,1650,Database Management,Elias M. Awad,"Course Technology, Inc.",9780878357130,1992,2,800,Database Management Systems,"Raghu Ramakrishnan,Johannes Gehrke",McGraw-Hill,9780072465630,2002,8,1104,0
4630165,3324,2071,Perl Database Programming / Edition 1,Brent Michalski,Wiley,9780764549564,2002,11,572,Perl Database Programming,Brent Michalski,John Wiley & Sons,9785555110526,2002,11,572,1
4646201,3336,3334,"Database Engineering, 1986","IEEE, Society Staff,Irv Traiger",IEEE Computer Society Press,9780818607486,1988,6,227,"Database Engineering, 1986","Institute of Electrical and Electronics Engineers,Bruce Lindsay,Sham Navathe",IEEE Computer Society Press,9780818607490,1988,6,226,1
4646712,3337,505,Java Database Programming Bible,"John O'Donahue,John O' Donahue",Wiley,9780764549243,2002,8,720,Java Database Programming Bible,John O'Donahue,Wiley,9780764549240,2002,8,720,1
4647273,3337,1748,Java Database Programming Bible,"John O'Donahue,John O' Donahue",Wiley,9780764549243,2002,8,720,Java Database Programming,"Alan R. Williamson,Ceri Moran,D.G. Williamson",Prentice Hall PTR,9780137379170,1997,11,439,0
4665116,3355,2039,Databases and Knowledge Systems in Merchandising,"John M. Mccann,John P. Gallagher","Wiley, John & Sons, Incorporated",9780442005672,1991,2,215,Databases and Knowledge Systems in Merchandising,John M. McCann,Van Nostrand Reinhold Company,9780442005670,1990,8,215,1
4711319,3393,2744,Fuzziness in Database Management Systems / Edition 1,"Patrick Bosc,Janusz Kacprzyk",Physica-Verlag HD,9783790808582,1995,5,1995,Fuzziness in Database Management Systems,Janusz Kacprzyk,Physica-Verlag,9783790808580,1995,5,433,1
4718122,3399,2600,Understanding Database Management Systems,Joseph A. Vasta,"Course Technology, Inc.",9780534100742,1989,2,526,Understanding Database Management Systems,Joseph A. Vasta,Wadsworth Publishing Company,9780534100740,1989,1,518,1
4755734,3428,3207,Database Design and SQL for DB2,James Cooper,Mc Press,9781583473573,2013,4,504,Database Design and SQL for DB2,James Cooper,Mc Press,9781583473570,2013,4,504,1
4771058,3437,2734,Database Management Systems,"Raghu Ramakrishnan,Tom Casson",McGraw-Hill Higher Education,9780070507753,1997,8,741,Database Management Systems Handbook,"Marc H. Levine,Robert Siegel,Jeffery Bruachler",Amacom,9780814406880,2001,4,320,0
4799866,3457,2156,Spatial Databases: A Tour / Edition 1,Shashi Shekhar,Pearson,9780130174802,2001,12,262,Spatial Databases: A Tour,"Shashi Shekhar,Sanjay Chawla",Pearson,9780130174800,2002,6,262,1
4812157,3465,3248,Professional iOS Database Application Programming,Patrick Alessi,Wiley,9781118391846,2013,4,384,Professional Linux Database Programming,Wrox Author Team,Wrox Press,9781861004410,2001,2,1000,0
4836844,3483,2077,Relational Databases,Barry M. Eaglestone,Nelson Thornes Limited,9780748711765,1991,3,328,The Theory Of Relational Databases,David Maier,Computer Science Press,9780914894420,1983,5,640,0
4861588,3502,1946,Database Management,Ralph B. Bisland Jr.,Prentice Hall Professional Technical Reference,9780131980525,1989,2,560,Database Management and Design,Gary W. Hansen,Prentice Hall,9780133088010,1995,9,582,0
4862023,3502,2738,Database Management,Ralph B. Bisland Jr.,Prentice Hall Professional Technical Reference,9780131980525,1989,2,560,Database Management Through dBASE,"Robert T. Grauer,Maryann Barber",McGraw-Hill Companies,9780070241400,1988,11,392,0
4887844,3523,2485,Beginning C# 2005 Databases: From Novice to Professional,"Jacob Hammer Pedersen,Syed Fahad Gilani,Jon Reid,James Huddleston,Ranga Raghuram",Apress,9781590597774,2006,12,528,Beginning ASP.NET 2.0 Databases: From Novice to Professional,Damien Foggon,Apress,9781590595770,2006,5,625,0
