_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_publisher,ltable_ISBN13,ltable_publishedYear,ltable_publishedMonth,ltable_pages,rtable_title,rtable_authors,rtable_publisher,rtable_ISBN13,rtable_publishedYear,rtable_publishedMonth,rtable_pages
30987,23,93,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",Sams,9780672329432,2007.0,6,720.0,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",Sams,9780672329432.0,2007.0,5.0,720.0
31084,23,260,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",Sams,9780672329432,2007.0,6,720.0,Sams Teach Yourself Java in 21 Days (Covering Java 7 and Android),Rogers Cadenhead,Sams Publishing,9780672335747.0,2012.0,8.0,720.0
31154,23,365,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",Sams,9780672329432,2007.0,6,720.0,Sams Teach Yourself Java 2 in 24 Hours,Rogers Cadenhead,Sams,9780672324604.0,2002.0,10.0,552.0
31218,23,473,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",Sams,9780672329432,2007.0,6,720.0,Sams Teach Yourself Java 2 in 21 Days,"Laura Lemay,Rogers Cadenhead",Sams,9780672319587.0,2000.0,9.0,650.0
31486,23,1060,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",Sams,9780672329432,2007.0,6,720.0,"Java in 21 Days, Sams Teach Yourself (Covering Java 8)",Rogers Cadenhead,Sams Publishing,9780672337109.0,2016.0,1.0,720.0
31504,23,1097,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",Sams,9780672329432,2007.0,6,720.0,Sams Teach Yourself Java 2 in 21 Days (4th Edition),"Rogers Cadenhead,Laura Lemay",Sams,9780672326288.0,2004.0,5.0,840.0
32716,23,3534,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",Sams,9780672329432,2007.0,6,720.0,Sams Teach Yourself DB2 Universal Database in 21 Days,Susan Visser,Sams,9780672325823.0,2003.0,8.0,601.0
42190,30,5,Student Value Edition for Java: An Introduction to Problem Solving and Programming / Edition 6,Walter Savitch,Pearson,9780132773331,2011.0,5,936.0,Java: An Introduction to Problem Solving and Programming,Walter J. Savitch,Prentice Hall,9780131492028.0,2004.0,12.0,1060.0
46554,32,1906,Teach Yourself Internet Game Programming with Java in 21 Days,Michael Morrison,Sams,9781575211480,1996.0,9,456.0,Teach Yourself Internet Game Programming with Java in 21 Days: With CDROM,Michael Morrison,Sams,9781575211480.0,1996.0,8.0,416.0
49323,34,1869,Women of the Kakawin World: Marriage and Sexuality in the Indic Courts of Java and Bali,Helen Creese,Taylor & Francis,9780765601599,2004.0,10,376.0,Women of the Kakawin World: Marriage and Sexuality in the Indic Courts of Java and Bali,Helen Creese,Routledge,9780765601599.0,2004.0,10.0,
50338,35,58,Java: How to Program / Edition 7,"Paul J. Deitel,H. M. Deitel,H. M. Deitell",Prentice Hall,9780132222204,2007.0,1,1500.0,Java: How to Program,Deitel,"Pearson Education, Inc.",,,,1496.0
50496,35,329,Java: How to Program / Edition 7,"Paul J. Deitel,H. M. Deitel,H. M. Deitell",Prentice Hall,9780132222204,2007.0,1,1500.0,Java: How to Program,"Harvey M. Deitel,Paul J. Deitel",Prentice Hall,9780131483989.0,2004.0,8.0,1568.0
52376,36,666,Professional Java Security,GARMS,Apress,9781861004253,2001.0,5,600.0,Professional Java Security,"Jess Garms,Daniel Somerfield",Wrox Press,9781861004253.0,2001.0,5.0,544.0
52417,36,771,Professional Java Security,GARMS,Apress,9781861004253,2001.0,5,600.0,Professional Java Data,"Danny Ayers,John Bell,Glenn E. Mitchell,Carl Bettis",Wrox Press,9781861004109.0,2001.0,5.0,1320.0
52440,36,832,Professional Java Security,GARMS,Apress,9781861004253,2001.0,5,600.0,Professional Java Soap,Henry Bequet,Wrox Press,9781861006103.0,2001.0,12.0,544.0
52441,36,837,Professional Java Security,GARMS,Apress,9781861004253,2001.0,5,600.0,Professional Java Servlets 2.3,"Andrew Harbourne-Thomas,Simon  Brown,Sam Dalton",Wrox Press,9781861005618.0,,,
52486,36,979,Professional Java Security,GARMS,Apress,9781861004253,2001.0,5,600.0,Professional Java Xml,"Kal Ahmed,Andrei Cioroianu",Wrox Press,9781861004017.0,2001.0,4.0,
60326,42,168,Java for Programmers,Paul Deitel,Pearson Education,9780132821551,2011.0,4,1168.0,C++ for Java Programmers,Mark Allen Weiss,Pearson,9780139194245.0,2003.0,11.0,304.0
60352,42,220,Java for Programmers,Paul Deitel,Pearson Education,9780132821551,2011.0,4,1168.0,UML for Java Programmers,"Robert C. Martin,Ira Reed",Prentice Hall PTR,9780131428485.0,2003.0,6.0,288.0
60385,42,269,Java for Programmers,Paul Deitel,Pearson Education,9780132821551,2011.0,4,1168.0,Java for Programmers,"Paul J. Deitel,Harvey M. Deitel",Prentice Hall,9780132821544.0,2011.0,4.0,1126.0
60458,42,387,Java for Programmers,Paul Deitel,Pearson Education,9780132821551,2011.0,4,1168.0,Java for C/C++ Programmers,Michael C. Daconta,Wiley,9780471153245.0,1996.0,3.0,443.0
60479,42,426,Java for Programmers,Paul Deitel,Pearson Education,9780132821551,2011.0,4,1168.0,C for Java Programmers,Tomasz Muldner,Pearson,9780201702798.0,2000.0,3.0,500.0
60593,42,648,Java for Programmers,Paul Deitel,Pearson Education,9780132821551,2011.0,4,1168.0,Java SE8 for Programmers,"Paul J. Deitel,Harvey M. Deitel",Prentice Hall,9780133891386.0,2014.0,4.0,1043.0
60595,42,654,Java for Programmers,Paul Deitel,Pearson Education,9780132821551,2011.0,4,1168.0,C++ for Java Programmers,"Timothy A. Budd,Timothy Budd",Addison Wesley Publishing Company,9780201612462.0,1999.0,4.0,290.0
60835,42,1167,Java for Programmers,Paul Deitel,Pearson Education,9780132821551,2011.0,4,1168.0,Java for the COBOL Programmer,E. Reed Doke,Cambridge University Press,9780521658928.0,1999.0,8.0,
61012,42,1587,Java for Programmers,Paul Deitel,Pearson Education,9780132821551,2011.0,4,1168.0,Java for Programmers,Douglas Lyon,Prentice Hall,9780130478696.0,2004.0,,912.0
66317,46,34,Java 2 For Dummies,Barry Burd,Wiley,9780764568589,2004.0,6,378.0,Java 2 For Dummies,Barry Burd,For Dummies,9780764568589.0,2004.0,8.0,378.0
66543,46,427,Java 2 For Dummies,Barry Burd,Wiley,9780764568589,2004.0,6,378.0,Java & XML for Dummies,Barry Burd,John Wiley & Sons,9780764516580.0,2002.0,7.0,408.0
71637,50,1124,Programming Mobile Objects with Java with CD-ROM,"Jeff Nelson,Kathryn A. Malm,Theresa Hudson",Wiley,9780471254065,1999.0,1,601.0,Programming with Java W/ CD-ROM,"Julia Case Bradley,Anita C. Millspaugh",Irwin/McGraw-Hill,9780072512441.0,2001.0,8.0,720.0
73229,51,499,"Platinum Edition Using HTML 3.2, Java 1.1, and CGI","Eric Ladd,Jim O'Donnell",Macmillan Computer Publishing,9780789709325,1996.0,11,1520.0,"Platinum Edition Using HTML 4, XML, and Java 1.2","Eric Ladd,Jim O'Donnell",Que,9780789717597.0,1998.0,12.0,1400.0
73531,51,1145,"Platinum Edition Using HTML 3.2, Java 1.1, and CGI","Eric Ladd,Jim O'Donnell",Macmillan Computer Publishing,9780789709325,1996.0,11,1520.0,"Platinum Edition Using XHTML, XML and Java 2","Eric Ladd,Mike Morgan,Jim O'Donnell",Que,9780789724731.0,2000.0,11.0,1410.0
73857,51,1909,"Platinum Edition Using HTML 3.2, Java 1.1, and CGI","Eric Ladd,Jim O'Donnell",Macmillan Computer Publishing,9780789709325,1996.0,11,1520.0,Platinum Edition Using HTML 3.2 Java 1.1 and CGI,"Eric Ladd,Jerry Ablan,Tobin Anthony",Que,9780789709325.0,1996.0,1.0,1471.0
75166,52,622,Concurrency: State Models and Java Programs / Edition 2,"Jeff Magee,Jeff Kramer",Wiley,9780470093559,2006.0,7,434.0,Concurrency: State Models & Java Programs [With CDROM],Jeff Magee,John Wiley & Sons,9780471987109.0,1999.0,4.0,374.0
81132,58,449,Java Programming with Oracle SQLJ,"Jason Price,Jonathan Gennick","O'Reilly Media, Incorporated",9780596000875,2001.0,8,400.0,Java Programming with CORBA,Andreas Vogel,Wiley,9780471247654.0,1998.0,3.0,528.0
81171,58,523,Java Programming with Oracle SQLJ,"Jason Price,Jonathan Gennick","O'Reilly Media, Incorporated",9780596000875,2001.0,8,400.0,Java Programming with Oracle JDBC,Donald Bales,O'Reilly Media,9780596000882.0,2001.0,12.0,498.0
81280,58,761,Java Programming with Oracle SQLJ,"Jason Price,Jonathan Gennick","O'Reilly Media, Incorporated",9780596000875,2001.0,8,400.0,Java Programming with Oracle SQLJ,Jason Price,O'Reilly Media,9780596000875.0,2001.0,9.0,400.0
83312,59,1096,Inside Servlets: Server-Side Programming for the Java Platform / Edition 2,"Dustin R. Callaway,Danny Coward",Addison-Wesley,9780201709063,2001.0,4,912.0,Inside Servlets: Server-Side Programming for the Java¿ Platform (2nd Edition),Dustin R. Callaway,Addison-Wesley Professional,9780201709063.0,2001.0,5.0,912.0
86500,62,416,"MyProgrammingLab with Pearson eText -- Access Card -- for Introduction to Java Programming, Brief Version / Edition 9",Y. Daniel Liang,Pearson,9780132991568,2012.0,3,768.0,"Introduction to Java Programming, Brief Version [with MyProgrammingLab & eText Access Card]",Y. Daniel Liang,Prentice Hall,9780133050561.0,2012.0,3.0,
88625,63,909,Java 2 for Professional Developers,Mike Morgan,Sams,9780672316975,1999.0,6,762.0,Java 2 for Professional Developers,Mike  Morgan,Sams,9780672316975.0,1999.0,7.0,762.0
88656,63,975,Java 2 for Professional Developers,Mike Morgan,Sams,9780672316975,1999.0,6,762.0,Professional Eclipse 3 for Java Developers,Berthold Daum,Wrox Press,9780470020050.0,2004.0,11.0,600.0
92816,66,1055,.NET Development for Java Programmers / Edition 1,"Paul Gibbons,Gary Cornell",Apress,9781590590386,2002.0,7,432.0,.Net Development for Java Programmers,"Paul  Gibbons,Gary Cornell",Apress,9781590590386.0,2002.0,7.0,386.0
96385,69,1068,Introduction to Programming Using Java / Edition 2,"Rick Decker,Stuart Hirshfield",Cengage Learning,9780534371104,2000.0,1,0.0,programming.java: An Introduction to Programming Using Java: An Introduction to Programming Using Java,"Rick Decker,Stuart Hirshfield",Course Technology,9780534371098.0,1999.0,12.0,640.0
96410,69,1117,Introduction to Programming Using Java / Edition 2,"Rick Decker,Stuart Hirshfield",Cengage Learning,9780534371104,2000.0,1,0.0,Multimedia Introduction to Programming Using Java,David Gries,Springer Science+Business Media,9780387226811.0,2004.0,9.0,536.0
97968,70,815,Java and Databases,"Stephen M. Gorman,Oopsla",ISTE/Hermes Science Publishing,9781903996157,2003.0,1,136.0,Java and Databases,Stephen M. Gorman,Elsevier Science & Technology,9781903996157.0,2004.0,2.0,128.0
99379,71,1372,From Jungle to Java,Arthur Keyser,CreateSpace Publishing,9781480122741,2012.0,10,100.0,From Jungle to Java,Arthur Keyser,Dodo Press,9781409916796.0,2009.0,2.0,92.0
99478,71,1672,From Jungle to Java,Arthur Keyser,CreateSpace Publishing,9781480122741,2012.0,10,100.0,From Jungle to Java,Arthur Louis Keyser,Createspace,9781505352139.0,2015.0,2.0,74.0
106690,76,1926,The Complete Guide to Java Database Programming (Java Masters Series),"Mathew Siple,Matthew D. Siple,Siple","McGraw-Hill Companies, The",9780079132864,1997.0,12,333.0,The Complete Guide to Java Database Programming with FDBC,"Matthew D. Siple,McGraw-Hill Education",McGraw-Hill Companies,9780079132864.0,1997.0,12.0,333.0
108181,78,241,"Better, Faster, Lighter Java","Bruce A. Tate,Justin Gehtland","O'Reilly Media, Incorporated",9780596006761,2004.0,6,266.0,"Better, Faster, Lighter Java","Bruce Tate,Justin Gehtland",O'Reilly Media,9780596006761.0,2004.0,6.0,266.0
108276,78,388,"Better, Faster, Lighter Java","Bruce A. Tate,Justin Gehtland","O'Reilly Media, Incorporated",9780596006761,2004.0,6,266.0,"Better, Faster, Lighter Java","Bruce A. Tate,Justin Gehtland",O'Reilly Media,9780596552794.0,2004.0,5.0,266.0
110098,79,593,Neural Network Programming with Java,Alan Souza,"Packt Publishing, Limited",9781785880902,2015.0,12,244.0,An Introduction to Network Programming with Java,Jan Graba,Springer,9781846283802.0,2006.0,7.0,423.0
110303,79,1199,Neural Network Programming with Java,Alan Souza,"Packt Publishing, Limited",9781785880902,2015.0,12,244.0,Programming Neural Networks with Encog 2 in Java,Jeff Heaton,"Heaton Research, Inc.",9781604390070.0,2010.0,3.0,480.0
110367,79,1405,Neural Network Programming with Java,Alan Souza,"Packt Publishing, Limited",9781785880902,2015.0,12,244.0,Neural Network Programming with Java,"Alan Souza,Fabio Soares",Packt Publishing,9781785880902.0,2016.0,1.0,244.0
115836,84,1479,"Java Design: Objects, UML, and Process / Edition 1",Kirk Knoernschild,Pearson Education,9780201750447,2002.0,1,304.0,"Java Design: Objects, UML, and Process",Kirk Knoernschild,Addison-Wesley Professional,9780201750447.0,2001.0,12.0,304.0
117706,85,1444,Java: An Object First Approach,Fintan Culwin,Prentice Hall Professional Technical Reference,9780138584573,1997.0,11,408.0,Java: An Object First Approach,Fintan Culwin,Prentice Hall,9780138584573.0,1998.0,1.0,394.0
120161,87,256,Java Cryptography,Jonathan Knudsen,"O'Reilly Media, Incorporated",9781565924024,1998.0,5,364.0,Java Cryptography,Jonathan Knudsen,O'Reilly Media,9781565924024.0,1998.0,5.0,364.0
120531,87,1429,Java Cryptography,Jonathan Knudsen,"O'Reilly Media, Incorporated",9781565924024,1998.0,5,364.0,Applied Java Cryptography,"Merlin Hughes,Conrad Hughes",Manning Publications,9781884777639.0,1998.0,12.0,300.0
121575,88,430,Java Application Architecture: Modularity Patterns with Examples Using OSGi,Kirk Knoernschild,Pearson Education,9780132874748,2012.0,3,288.0,Java Application Architecture: Modularity Patterns with Examples Using OSGi,Kirk Knoernschild,Prentice Hall,9780321247131.0,2012.0,3.0,384.0
123772,90,567,Java Transaction Design Strategies,Mark Richards,Lulu.com,9781411695917,2006.0,6,116.0,Java Transaction Design Strategies,Mark Richards,Lulu.com,9781411695917.0,2006.0,5.0,116.0
127008,92,1905,Java Development on PDAs: Developing Applications for PocketPC and Palm Devices,Daryl Wilding-McBride,Addison-Wesley,9780201719543,2003.0,6,238.0,Java Development on PDAs: Building Applications for PocketPC and Palm Devices,Daryl Wilding-McBride,Addison Wesley Publishing Company,9780201719543.0,2003.0,6.0,256.0
128419,93,833,XML and Java From Scratch,"Nicholas Chase,Jesse Liberty",Que,9780789724762,2001.0,3,496.0,Xml And Java From Scratch,Nicholas Chase,Que,9780789724762.0,2001.0,3.0,400.0
130508,94,1285,Enterprise Java Security: Building Secure J2EE Applications,"Marco Pistoia,Nataraj Nagaratnam,Larry Koved,Anthony Nadalin",Addison-Wesley,9780321118899,2004.0,2,581.0,Enterprise Java Security: Building Secure J2EE Applications,"Nataraj Nagaratnam,Larry Koved,Anthony Nadalin",Addison Wesley Publishing Company,9780321118899.0,2004.0,2.0,581.0
131749,95,36,"The History of Java, Volume 2",Thomas Stamford Raffles,Andesite Press,9781297695902,2015.0,8,528.0,"The History of Java, Volume 2",Thomas Stamford Raffles,Nabu Press,9781146242493.0,2010.0,3.0,528.0
131786,95,178,"The History of Java, Volume 2",Thomas Stamford Raffles,Andesite Press,9781297695902,2015.0,8,528.0,"The History of Java, Volume 1",Thomas Stamford Raffles,Nabu Press,9781149013151.0,2010.0,4.0,596.0
139906,100,109,Unified Software Engineering with Java / Edition 1,"Georges G. Merx,Ronald J. Norman",Prentice Hall,9780130473769,2006.0,6,640.0,Software Engineering with Java,Stephen R. Schach,Irwin Professional Publishing,9780256241679.0,1997.0,1.0,618.0
140502,100,1297,Unified Software Engineering with Java / Edition 1,"Georges G. Merx,Ronald J. Norman",Prentice Hall,9780130473769,2006.0,6,640.0,Unified Software Engineering with Java,Georges G. Merx,Prentice Hall,9780130473769.0,2006.0,6.0,611.0
143608,103,422,Data Structures and Other Objects Using Java / Edition 3,"Michael Main,M. Main",Addison Wesley,9780321375254,2005.0,10,832.0,Data Structures and Other Objects Using Java (3rd Edition),Michael Main,Addison Wesley,9780321375254.0,2005.0,10.0,832.0
144058,103,1364,Data Structures and Other Objects Using Java / Edition 3,"Michael Main,M. Main",Addison Wesley,9780321375254,2005.0,10,832.0,Data Structures & Other Objects Using Java,Michael Main,Addison Wesley Longman,9780201357448.0,1998.0,10.0,768.0
144273,103,1879,Data Structures and Other Objects Using Java / Edition 3,"Michael Main,M. Main",Addison Wesley,9780321375254,2005.0,10,832.0,Data Structures and Other Objects Using Java,Michael Main,Pearson Educacion,9780132911504.0,2011.0,10.0,848.0
145553,104,532,Sun Certified Programmer & Developer for Java 2 Study Guide (Exam 310-035 & 310-027),"Katherine Sierra,Bert Bates",McGraw-Hill Osborne Media,9780072226843,2003.0,1,752.0,SCJP Sun Certified Programmer for Java 5 Study Guide (Exam 310-055) (Certification Press),"Katherine Sierra,Bert Bates",McGraw-Hill Osborne,9780072253603.0,2006.0,1.0,825.0
146003,104,1523,Sun Certified Programmer & Developer for Java 2 Study Guide (Exam 310-035 & 310-027),"Katherine Sierra,Bert Bates",McGraw-Hill Osborne Media,9780072226843,2003.0,1,752.0,Scjp Sun Certified Programmer for Java 6 Study Guide: Exam 310-065,"Katherine Sierra,Bert Bates",McGraw-Hill Education,9780071591072.0,2008.0,6.0,851.0
146070,104,1676,Sun Certified Programmer & Developer for Java 2 Study Guide (Exam 310-035 & 310-027),"Katherine Sierra,Bert Bates",McGraw-Hill Osborne Media,9780072226843,2003.0,1,752.0,Sun Certified Developer for Java Web Services Study Guide (Exam 310-220),Mehran Habibi,McGraw-Hill/Osborne Media,9780072259520.0,2012.0,2.0,656.0
153722,110,577,Advanced Java,Chris Laffra,Prentice Hall Professional Technical Reference,9780135343487,1996.0,1,288.0,Advanced Java,Chris Laffra,Prentice Hall,9780135343487.0,1997.0,1.0,270.0
157913,112,1510,Light Therapy: Stories from Spiritual Java,Kevin Dedmon,"Destiny Image, Inc.",9780768486681,2012.0,6,15.0,True Humility: Stories from Spiritual Java,Kris Vallotton,Destiny Image,,2012.0,6.0,5.0
164254,116,370,Programming the Internet with Java,"Darrel Ince,Adam Freeman,Adam Freeman",Addison Wesley,9780201398441,1998.0,9,400.0,Programming with Java,Barry Holmes,Jones & Bartlett Publishers,9780763707071.0,1998.0,1.0,587.0
164741,116,1384,Programming the Internet with Java,"Darrel Ince,Adam Freeman,Adam Freeman",Addison Wesley,9780201398441,1998.0,9,400.0,Programming The Internet With Java,"Darrel Ince,Adam Freeman",Addison Wesley Longman,9780201175493.0,1997.0,6.0,440.0
165972,117,99,"The Java Virtual Machine Specification, Java SE 7 Edition",Tim Lindholm,Pearson Education,9780133260465,2013.0,2,608.0,The Java(tm) Virtual Machine Specification,"Tim Lindholm,Frank Yellin",Addison-Wesley Professional,9780201432947.0,1999.0,4.0,496.0
166183,117,445,"The Java Virtual Machine Specification, Java SE 7 Edition",Tim Lindholm,Pearson Education,9780133260465,2013.0,2,608.0,The Java Virtual Machine Specification (Java),"Frank Yellin,Gilad Bracha",,9780321246882.0,,,
166394,117,895,"The Java Virtual Machine Specification, Java SE 7 Edition",Tim Lindholm,Pearson Education,9780133260465,2013.0,2,608.0,The Java Virtual Machine Specification,"Tim Lindholm,Frank Yellin",Addison Wesley Publishing Company,9780201634525.0,1996.0,9.0,475.0
166406,117,917,"The Java Virtual Machine Specification, Java SE 7 Edition",Tim Lindholm,Pearson Education,9780133260465,2013.0,2,608.0,"The Java Virtual Machine Specification, Java SE 7 Edition","Tim Lindholm,Frank Yellin,Gilad Bracha,Alex Buckley",Prentice Hall,9780133260441.0,2013.0,1.0,608.0
166407,117,918,"The Java Virtual Machine Specification, Java SE 7 Edition",Tim Lindholm,Pearson Education,9780133260465,2013.0,2,608.0,"The Java Virtual Machine Specification, Java Se 8 Edition","Tim Lindholm,Frank Yellin,Gilad Bracha",Addison-Wesley Professional,9780133922721.0,2014.0,5.0,600.0
166470,117,1065,"The Java Virtual Machine Specification, Java SE 7 Edition",Tim Lindholm,Pearson Education,9780133260465,2013.0,2,608.0,"The Java Virtual Machine Specification, Java Se 7 Edition","Tim Lindholm,Frank Yellin,Gilad Bracha",Addison-Wesley Professional,9780133260465.0,2013.0,2.0,608.0
166821,117,1851,"The Java Virtual Machine Specification, Java SE 7 Edition",Tim Lindholm,Pearson Education,9780133260465,2013.0,2,608.0,"The Java Language Specification, Java Se 7 Edition","James Gosling,Bill Joy,Guy L Jr Steele",Addison-Wesley Professional,9780133260304.0,2013.0,2.0,672.0
170081,120,152,Java 2,Ralph Steyer,Pearson Professional Education,9780130321442,2000.0,10,543.0,Just Java 2,Peter van der Linden,Prentice Hall,9780131482111.0,2004.0,7.0,848.0
170429,120,807,Java 2,Ralph Steyer,Pearson Professional Education,9780130321442,2000.0,10,543.0,Java 2,Ralf Jesse,,9783826681448.0,,,
170820,120,1675,Java 2,Ralph Steyer,Pearson Professional Education,9780130321442,2000.0,10,543.0,Just Java 2,Peter van der Linden,Prentice Hall,9780137009909.0,2004.0,6.0,848.0
176270,124,71,Gentry: Social Change in Java: the Tale of a Family,Umar Kayam,Vladislav V Zhukov,9780987463722,2014.0,12,270.0,Gentry: Social Change in Java: The Tale of a Family,"Umar Kayam,Vladislav Zhukov",Vladislav V Zhukov,9780987463722.0,2014.0,12.0,270.0
179900,126,1751,Interdisciplinary Computing in Java Programming / Edition 1,Sun-Chong Wang,Springer US,9781402075131,2007.0,10,2003.0,Interdisciplinary Computing in Java Programming,Sun-Chong Wang,Springer,9781402075131.0,2003.0,8.0,266.0
183701,129,2,Java Software Solutions: Foundations of Program Design / Edition 2,"John Lewis (5),William Loftus",Addison-Wesley,9780201612714,1999.0,12,780.0,Java Software Solutions (Java 5.0 version): Foundations of Program Design,"John   Lewis,William Loftus",Addison Wesley Publishing Company,9780321322036.0,2005.0,7.0,944.0
185989,130,1335,Professional Java Custom Ui Components,"KRUTSCH,Virginia Howlett,David S. Cargo,Virginia Howlett,David S. Cargo",Apress,9781861003645,2001.0,8,600.0,Professional Java Custom Ui Components,Kenneth F. Krutsch,Wrox Press,9781861003645.0,2001.0,8.0,512.0
190466,133,1045,Compiling with C# and Java,Pat D. Terry,Longman Publishing Group,9780321263605,2005.0,3,624.0,Compiling with C# and Java,Pat D. Terry,Addison Wesley Publishing Company,9780321263605.0,2004.0,10.0,604.0
193125,135,1260,Music in Java,"Jaap Kunst,E. D. Kunst,E. L. Heins",Nijhoff,9789024715190,1987.0,2,678.0,Music in Java,Jaap Kunst,Nijhoff,9789024715190.0,1987.0,2.0,678.0
198498,141,153,Java 2: A Beginner's Guide Instructor's Manual,Herbert Schildt,McGraw-Hill Osborne,9780072190298,2001.0,6,229.0,Java 2: A Beginner's Guide,Herbert Schildt,McGraw-Hill/Osborne Media,9780072127423.0,2000.0,11.0,570.0
200348,142,83,Concurrent and Distributed Computing in Java / Edition 1,Vijay K. Garg,Wiley,9780471432302,2004.0,2,336.0,Concurrent and Distributed Computing in Java,Vijay K. Garg,Wiley-IEEE Press,9780471432302.0,2004.0,2.0,336.0
205088,146,85,Pro JPA 2: Mastering the Java Persistence API,Mike Keith,Apress,9781430219576,2009.0,12,500.0,Pro JPA 2: Mastering the Java Persistence API,"Mike Keith,Merrick Schincariol",Apress,9781430219569.0,2009.0,11.0,503.0
205536,146,1511,Pro JPA 2: Mastering the Java Persistence API,Mike Keith,Apress,9781430219576,2009.0,12,500.0,Pro JPA 2: Mastering the Java Persistence API,Merrick Schincariol,Apress L. P.,9781430219576.0,2009.0,12.0,0.0
207650,148,222,Java Servlet Programming / Edition 2,"Jason Hunter,William Crawford","O'Reilly Media, Incorporated",9780596000400,2001.0,4,782.0,Java Servlet Programming,"Jason Hunter,William Crawford",O'Reilly Media,9780596000400.0,2001.0,4.0,780.0
209438,149,112,The Lost Temple of Java,Phil Grabsky,Seven Dials,9781841880587,2000.0,8,144.0,The Lost Temple of Java,Phil Grabsky,Phoenix Illustrated,9781841880587.0,2000.0,12.0,144.0
210730,150,153,Java: A Beginner's Guide,Herbert Schildt,"McGraw-Hill Companies, The",9780072231892,2005.0,3,648.0,Java 2: A Beginner's Guide,Herbert Schildt,McGraw-Hill/Osborne Media,9780072127423.0,2000.0,11.0,570.0
210820,150,301,Java: A Beginner's Guide,Herbert Schildt,"McGraw-Hill Companies, The",9780072231892,2005.0,3,648.0,Java: A Beginner's Guide (Beginner's Guide),Herbert Schildt,McGraw-Hill/Osborne Media,9780072231892.0,,,
