ltable_title,ltable_authors,ltable_publisher,ltable_ISBN13,ltable_publishedYear,ltable_publishedMonth,ltable_pages,rtable_title,rtable_authors,rtable_publisher,rtable_ISBN13,rtable_publishedYear,rtable_publishedMonth,rtable_pages
Java Development on PDAs: Developing Applications for PocketPC and Palm Devices,Daryl Wilding-McBride,Addison-Wesley,9.7802E+12,2003,6,238,Java Development on PDAs: Building Applications for PocketPC and Palm Devices,Daryl Wilding-McBride,Addison Wesley Publishing Company,9.7802E+12,2003,6,256
XML and Java From Scratch,"Nicholas Chase,Jesse Liberty",Que,9.78079E+12,2001,3,496,Xml And Java From Scratch,Nicholas Chase,Que,9.78079E+12,2001,3,400
Enterprise Java Security: Building Secure J2EE Applications,"Marco Pistoia,Nataraj Nagaratnam,Larry Koved,Anthony Nadalin",Addison-Wesley,9.78032E+12,2004,2,581,Enterprise Java Security: Building Secure J2EE Applications,"Nataraj Nagaratnam,Larry Koved,Anthony Nadalin",Addison Wesley Publishing Company,9.78032E+12,2004,2,581
Unified Software Engineering with Java / Edition 1,"Georges G. Merx,Ronald J. Norman",Prentice Hall,9.78013E+12,2006,6,640,Unified Software Engineering with Java,Georges G. Merx,Prentice Hall,9.78013E+12,2006,6,611
Data Structures and Other Objects Using Java / Edition 3,"Michael Main,M. Main",Addison Wesley,9.78032E+12,2005,10,832,Data Structures and Other Objects Using Java (3rd Edition),Michael Main,Addison Wesley,9.78032E+12,2005,10,832
Programming the Internet with Java,"Darrel Ince,Adam Freeman,Adam Freeman",Addison Wesley,9.7802E+12,1998,9,400,Programming The Internet With Java,"Darrel Ince,Adam Freeman",Addison Wesley Longman,9.7802E+12,1997,6,440
"The Java Virtual Machine Specification, Java SE 7 Edition",Tim Lindholm,Pearson Education,9.78013E+12,2013,2,608,"The Java Virtual Machine Specification, Java SE 7 Edition","Tim Lindholm,Frank Yellin,Gilad Bracha,Alex Buckley",Prentice Hall,9.78013E+12,2013,1,608
"The Java Virtual Machine Specification, Java SE 7 Edition",Tim Lindholm,Pearson Education,9.78013E+12,2013,2,608,"The Java Virtual Machine Specification, Java Se 8 Edition","Tim Lindholm,Frank Yellin,Gilad Bracha",Addison-Wesley Professional,9.78013E+12,2014,5,600
"The Java Virtual Machine Specification, Java SE 7 Edition",Tim Lindholm,Pearson Education,9.78013E+12,2013,2,608,"The Java Virtual Machine Specification, Java Se 7 Edition","Tim Lindholm,Frank Yellin,Gilad Bracha",Addison-Wesley Professional,9.78013E+12,2013,2,608
Gentry: Social Change in Java: the Tale of a Family,Umar Kayam,Vladislav V Zhukov,9.78099E+12,2014,12,270,Gentry: Social Change in Java: The Tale of a Family,"Umar Kayam,Vladislav Zhukov",Vladislav V Zhukov,9.78099E+12,2014,12,270
Professional Java Custom Ui Components,"KRUTSCH,Virginia Howlett,David S. Cargo,Virginia Howlett,David S. Cargo",Apress,9.78186E+12,2001,8,600,Professional Java Custom Ui Components,Kenneth F. Krutsch,Wrox Press,9.78186E+12,2001,8,512
Compiling with C# and Java,Pat D. Terry,Longman Publishing Group,9.78032E+12,2005,3,624,Compiling with C# and Java,Pat D. Terry,Addison Wesley Publishing Company,9.78032E+12,2004,10,604
Music in Java,"Jaap Kunst,E. D. Kunst,E. L. Heins",Nijhoff,9.78902E+12,1987,2,678,Music in Java,Jaap Kunst,Nijhoff,9.78902E+12,1987,2,678
Concurrent and Distributed Computing in Java / Edition 1,Vijay K. Garg,Wiley,9.78047E+12,2004,2,336,Concurrent and Distributed Computing in Java,Vijay K. Garg,Wiley-IEEE Press,9.78047E+12,2004,2,336
Pro JPA 2: Mastering the Java Persistence API,Mike Keith,Apress,9.78143E+12,2009,12,500,Pro JPA 2: Mastering the Java Persistence API,"Mike Keith,Merrick Schincariol",Apress,9.78143E+12,2009,11,503
Pro JPA 2: Mastering the Java Persistence API,Mike Keith,Apress,9.78143E+12,2009,12,500,Pro JPA 2: Mastering the Java Persistence API,Merrick Schincariol,Apress L. P.,9.78143E+12,2009,12,0
Java Servlet Programming / Edition 2,"Jason Hunter,William Crawford","O'Reilly Media, Incorporated",9.7806E+12,2001,4,782,Java Servlet Programming,"Jason Hunter,William Crawford",O'Reilly Media,9.7806E+12,2001,4,780
The Lost Temple of Java,Phil Grabsky,Seven Dials,9.78184E+12,2000,8,144,The Lost Temple of Java,Phil Grabsky,Phoenix Illustrated,9.78184E+12,2000,12,144
Java Precisely / Edition 2,Peter Sestoft,MIT Press,9.78026E+12,2005,6,168,"Java Precisely, 2nd Edition",Peter Sestoft,The MIT Press,9.78026E+12,2005,6,168
Data Structures and the Java Collections Framework,William Collins,McGraw-Hill Higher Education,9.78007E+12,2004,4,784,Data Structures and the Java Collections Framework,William J.  Collins,McGraw-Hill Science/Engineering/Math,9.78007E+12,2004,4,784
Java 1.2 & Javascript for C/C++ Programmers,"Michael C. Daconta,Al Saganich,Eric Monk,Martin Snyder",Wiley,9.78047E+12,1998,2,704,Java 1.2 and JavaScript for C and C++ Programmers,Eric Monk,Wiley,9.78047E+12,1998,2,704
Java 2 Weekend Crash Course with Cdrom,"Julio Sanchez,Maria P. Canton",Wiley,9.78076E+12,2000,12,0,Java 2 Weekend Crash Course [With CDROM],"Julio Sanchez,Maria P. Canton",John Wiley & Sons,9.78076E+12,2000,12,456
Objects First With Java: A Practical Introduction Using BlueJ / Edition 3,"David J. Barnes,Michael Kolling,Michael Kolling",Prentice Hall,9.78013E+12,2006,5,520,Objects First with Java: A Practical Introduction Using BlueJ,"David J. Barnes,Michael Kölling",Prentice Hall,9.78013E+12,2006,6,520
Data Structures In Java: A Laboratory Course / Edition 1,"Sandra Andersen,Roberge",Jones & Bartlett Learning,9.78076E+12,2001,11,432,Data Structures in Java: A Laboratory Course,"Sandra Andersen,Sandra Andersen",Jones & Bartlett Publishers,9.78076E+12,2001,11,407
Beginning Java EE 6 with GlassFish 3,Antonio Goncalves,Apress,9.78143E+12,2010,8,536,Beginning Java EE 6 with GlassFish 3 (Expert's Voice in Java Technology),Antonio Goncalves,Apress,,2010,8,536
Beginning Java EE 6 with GlassFish 3,Antonio Goncalves,Apress,9.78143E+12,2010,8,536,Beginning Java EE 6 with GlassFish 3,Antonio Goncalvez,Apress L. P.,9.78143E+12,2010,7,0
Special Edition Using Java,Joseph Weber,Que,9.78079E+12,1996,10,1152,Special Edition Using Java,"Edward Toupin,Jerry Ablan",Que,9.78079E+12,1996,4,869
Fundamentals of Java: Introductory / Edition 2,"Ken Lambert,Martin Osborne",Cengage Learning,9.78062E+12,2002,7,648,Fundamentals of Java: Introductory,"Kenneth A. Lambert,Martin Osborne",Cengage Learning,9.78062E+12,2002,5,648
Java 8 Lambdas: Pragmatic Functional Programming,Richard Warburton,"O'Reilly Media, Incorporated",9.78145E+12,2014,4,182,Java 8 Lambdas: Pragmatic Functional Programming,Richard Warburton,O'Reilly Media,9.78145E+12,2014,4,182
Jasperreports 3.5 For Java Developers,David Heffelfinger,Packt Publishing,9.78185E+12,2009,8,368,Jasperreports 3.5 for Java Developers,David Heffelfinger,Packt Publishing,9.78185E+12,2009,8,368
Jasperreports 3.5 For Java Developers,David Heffelfinger,Packt Publishing,9.78185E+12,2009,8,368,Jasperreports 3.5 for Java Developers,David R. Heffelfinger,Packt Publishing,9.78185E+12,2009,8,369
Java 7 Recipes: A Problem-Solution Approach,"Josh Juneau,Mark Beaty,Carl Dea,Freddy Guime,John OConner",Apress,9.78143E+12,2012,2,872,Java Ee 7 Recipes: A Problem-Solution Approach,Josh Juneau,Apress,9.78143E+12,2013,5,748
Java 7 Recipes: A Problem-Solution Approach,"Josh Juneau,Mark Beaty,Carl Dea,Freddy Guime,John OConner",Apress,9.78143E+12,2012,2,872,Java 7 Recipes: A Problem-Solution Approach,"Josh Juneau,Mark Beaty,Carl Dea,Freddy Guime,John O'Conner",Apress,9.78143E+12,2011,12,872
Java Enterprise in a Nutshell,"Jim Farley,William Crawford,John G. Norman,Justin Gehtland,Prakash Malani","O'Reilly Media, Incorporated",9.7806E+12,2006,3,896,Java Enterprise in a Nutshell,"Jim Farley,William Crawford,Prakash Malani,Justin Gehtland,John G. Norman",O'Reilly Media,9.7806E+12,2005,12,896
"The Java Virtual Machine Specification, Java SE 8 Edition / Edition 1","Tim Lindholm,Frank Yellin,Gilad Bracha,Alex Buckley",Addison-Wesley,9.78013E+12,2014,5,648,"The Java Virtual Machine Specification, Java SE 7 Edition","Tim Lindholm,Frank Yellin,Gilad Bracha,Alex Buckley",Prentice Hall,9.78013E+12,2013,1,608
"The Java Virtual Machine Specification, Java SE 8 Edition / Edition 1","Tim Lindholm,Frank Yellin,Gilad Bracha,Alex Buckley",Addison-Wesley,9.78013E+12,2014,5,648,"The Java Virtual Machine Specification, Java Se 8 Edition","Tim Lindholm,Frank Yellin,Gilad Bracha",Addison-Wesley Professional,9.78013E+12,2014,5,600
"The Java Virtual Machine Specification, Java SE 8 Edition / Edition 1","Tim Lindholm,Frank Yellin,Gilad Bracha,Alex Buckley",Addison-Wesley,9.78013E+12,2014,5,648,"The Java Virtual Machine Specification, Java Se 7 Edition","Tim Lindholm,Frank Yellin,Gilad Bracha",Addison-Wesley Professional,9.78013E+12,2013,2,608
Continuous Enterprise Development in Java,"Andrew Lee Rubinger,Aslak Knutsen","O'Reilly Media, Incorporated",9.78145E+12,2014,4,256,Continuous Enterprise Development in Java,"Andrew Lee Rubinger,Dan Allen,Aslak Knutsen",O'Reilly Media,9.78145E+12,2014,3,241
Programming Fundamentals Using Java: A Game Application Approach,"William McAllister,S. Jane Fritz",Mercury Learning and Information,9.78194E+12,2014,10,733,Programming Fundamentals Using Java: A Game Application Approach,"William Mcallister,Sister Jane Fritz",Mercury Learning & Information,9.78194E+12,2014,9,733
Beginning Java 7,Jeff Friesen,Apress,9.78143E+12,2011,11,920,Beginning Java 7,Jeff Friesen,Apress,9.78143E+12,2011,11,920
Java EE 7 Essentials,Arun Gupta,"O'Reilly Media, Incorporated",9.78145E+12,2013,8,362,Java EE 7 Essentials,Arun Gupta,O'Reilly Media,9.78145E+12,2013,9,362
Java Threads,"Scott Oaks,Henry Wong","O'Reilly Media, Incorporated",9.7806E+12,2004,9,362,Java Threads,"Scott Oaks,Henry Wong",O'Reilly Media,9.7806E+12,2004,9,340
Java Phrasebook,Timothy R. Fisher,Sams,9.78067E+12,2006,11,224,Java Phrasebook,Timothy R. Fisher,Sams,9.78067E+12,2006,11,211
The Well-Grounded Java Developer: Vital Techniques of Java 7 and Polyglot Programming,"Benjamin J Evans,Martijn Verburg",Manning Publications Company,9.78162E+12,2012,7,496,The Well-Grounded Java Developer: Vital techniques of Java 7 and polyglot programming,"Benjamin J. Evans,Martijn Verburg",Manning Publications,9.78162E+12,2012,7,462
Java Structures: Data Structures in Java for the Principled Programmer,"Duane Bailey,Bailey","McGraw-Hill Companies, The",9.78007E+12,2002,7,528,Java Structures: Data Structures in Java for the Principled Programmer,Duane A. Bailey,McGraw-Hill Science/Engineering/Math,9.78007E+12,2002,7,514
An Introduction to Java Programming and Object-Oriented Application Development / Edition 1,Richard Johnson,Cengage Learning,9.78062E+12,2006,2,784,An Introduction to Java Programming and Object-Oriented Application Development,Richard A.  Johnson,Cengage Learning,9.78062E+12,2006,2,784
Introduction To Cryptography With Java Applets / Edition 1,David Bishop,Jones & Bartlett Learning,9.78076E+12,2002,12,370,Introduction to Cryptography with Java Applets,David   Bishop,Jones & Bartlett Publishers,9.78076E+12,2002,12,370
Data Structures and Abstractions with Java / Edition 1,"Frank Carrano,Walter Savitch",Prentice Hall,9.78013E+12,2002,12,864,Data Structures and Abstractions with Java,"Frank Carrano,Walter J. Savitch",Prentice Hall,9.78013E+12,2002,12,843
The Java Web Services Tutorial,"Eric Armstrong,Kim Haase,Dale Green,Maydene Fisher,Debbie Carson",Pearson Education,9.7802E+12,2002,3,544,The Java Web Services Tutorial,"Eric Armstrong,Maydene Fisher,Kim Haase,Dale Green,Debbie Carson",Pearson Education,9.7802E+12,2002,3,528
Java Programming for Dummies,"Donald J. Koosis,David Koosis","Wiley, John & Sons, Incorporated",9.78076E+12,1997,7,373,Java Programming for Dummies: With CD,"Donald J. Koosis,David Koosis,David S. Koosis",For Dummies,9.78076E+12,1997,7,384
Introduction to Network Programming with Java / With CD,Jan Graba,Pearson,9.78032E+12,2003,10,374,An Introduction to Network Programming with Java + CD,Jan Graba,Addison Wesley Publishing Company,9.78032E+12,2003,8,400
Restful Java Web Services,Jose Sandoval,Packt Publishing,9.78185E+12,2009,11,256,Restful Java Web Services,Jose Sandoval,Packt Publishing,9.78185E+12,2009,11,256
Restful Java Web Services,Jose Sandoval,Packt Publishing,9.78185E+12,2009,11,256,Restful Java Web Services,Jose Sandoval,Packt Publishing,9.78185E+12,2009,11,259
"Java Puzzlers: Traps, Pitfalls, and Corner Cases","Joshua Bloch,Neal Gafter",Addison-Wesley,9.78032E+12,2005,9,304,"Java Puzzlers: Traps, Pitfalls, and Corner Cases","Joshua Bloch,Neal Gafter",Addison-Wesley Professional,9.78032E+12,2005,9,282
Java for Android,Budi Kurniawan,Brainy Software,9.78099E+12,2014,8,568,Java for Android,Budi Kurniawan,BrainySoftware,9.78099E+12,2014,8,600
Professional Java EE Design Patterns / Edition 1,"Murat Yener,Alex Theedom",Wiley,9.78112E+12,2015,1,264,Professional Java EE Design Patterns,"Murat Yener,Alex Theedom",Wrox Press,9.78112E+12,2015,1,264
Learn Java for Android Development: Java 8 and Android 5 Edition / Edition 3,Jeff Friesen,Apress,9.78143E+12,2014,2,1200,Learn Java for Android Development: Java 8 and Android 5 Edition,Jeff Friesen,Apress,9.78143E+12,2014,5,1200
Pro XML Development with Java Technology,Deepak Vohra,Apress,9.78159E+12,2006,9,472,Pro XML Development with Java Technology,Ajay Vohra,Apress,9.78159E+12,2006,9,451
The Magus of Java: Teachings of an Authentic Taoist Immortal,Kosta Danaos,Inner Traditions/Bear & Company,9.78089E+12,2000,6,224,The Magus of Java: Teachings of an Authentic Taoist Immortal,Kosta Danaos,Inner Traditions,9.78089E+12,2000,6,224
Beginning EJB 3: Java EE 7 Edition,"Jonathan Wetherbee,Chirag Rathod,Raghu Kodali,Peter Zadrozny",Apress,9.78143E+12,2013,4,452,Beginning Ejb 3: Java Ee 7 Edition,"Jonathan Wetherbee,Chirag Rathod,Raghu Kodali,Peter Zadrozny",Apress,9.78143E+12,2013,4,452
Sams Teach Yourself Java in 24 Hours,Rogers Cadenhead,Pearson Education,9.78077E+12,2009,10,432,Sams Teach Yourself Java in 24 Hours,Rogers Cadenhead,Sams,9.78067E+12,2009,11,432
Oracle Certified Professional Java SE 7 Programmer Exams 1Z0-804 and 1Z0-805: A Comprehensive OCPJP 7 Certification Guide,"S G Ganesh,Tushar Sharma",Apress,9.78143E+12,2013,2,656,Oracle Certified Professional Java SE 7 Programmer Exams 1Z0-804 and 1Z0-805: A Comprehensive OCPJP 7 Certification Guide,"S.G. Ganesh,Tushar Sharma",Apress,9.78143E+12,2013,2,656
Refracted Visions: Popular Photography and National Modernity in Java,"Karen Strassler,Nicholas Thomas",Duke University Press Books,9.78082E+12,2010,4,400,Refracted Visions: Popular Photography and National Modernity in Java,Karen Strassler,Duke University Press Books,9.78082E+12,2010,4,400
Core Java Career Essentials,"Arulkumaran Kumaraswamipillai,Sivayini Arulkumaran",CreateSpace Publishing,9.78146E+12,2011,7,544,Core Java Career Essentials,"Arulkumaran Kumaraswamipillai,Sivayini Arulkumaran",Createspace,9.78146E+12,2011,7,544
Core Java Career Essentials,"Arulkumaran Kumaraswamipillai,Sivayini Arulkumaran",CreateSpace Publishing,9.78146E+12,2011,7,544,Core Java Career Essentials,"Arulkumaran Kumaraswamipillai,Mrs Sivayini Arulkumaran",CreateSpace Independent Publishing Platform,,2011,7,542
Java for RPG Programmers / Edition 3,"Phil Coulthard,George Farr",Mc Press,9.78193E+12,2007,4,800,Java for RPG Programmers: 3rd edition,"Phil Coulthard,George Farr",Mc Press,9.78193E+12,2006,12,800
Introduction to Compiler Construction in a Java World,Bill Campbell,Taylor & Francis,9.78144E+12,2012,12,381,Introduction to Compiler Construction in a Java World,"Bill  Campbell,Swami Iyer,Bahar Akbal-Delibas",CRC Press,9.78144E+12,2012,11,355
Applied Java Patterns,"Stephen Stelting,Olaf Maassen,Olav Maassen-Van Leeuwen",Prentice Hall,9.78013E+12,2002,1,608,Applied Java Patterns,Stephen A. Stelting,Prentice Hall PTR,9.78013E+12,2002,1,450
Java Persistence With Jpa,Daoqi Yang  Phd,"Outskirts Press, Inc.",9.78143E+12,2010,3,376,Java Persistence with Jpa,Daoqi Yang,Outskirts Press,9.78143E+12,2010,3,390
Sunset Over Java,Jacobus E. de Vries,CreateSpace Publishing,9.78152E+12,2015,9,206,Sunset Over Java,Jacobus de Vries,Createspace Independent Publishing Platform,9.78152E+12,2015,9,193
Java and Internet Security,"Theodore J. Shrader,Anthony J. Nadalin,Bruce A. Rich,Bruce Rich","iUniverse, Incorporated",9.7806E+12,2000,9,208,Java and Internet Security,"Theodore Shrader,Theodore J. Shrader,Bruce A. Rich,Bruce Rich,Theodore Shrader",iUniverse,9.7806E+12,2000,10,208
OCEJWCD Study Companion: Certified Expert Java EE 6 Web Component Developer (Oracle Exam 1Z0-899),Charles Lyons,Garner Press,9.78096E+12,2012,8,682,Ocejwcd Study Companion: Certified Expert Java Ee 6 Web Component Developer (Oracle Exam 1z0-899),Charles Lyons,Garner Press,9.78096E+12,2012,8,682
"Graphic Java 2, Volume 2, Swing / Edition 3",David Geary,Prentice Hall,9.78013E+12,1999,3,1600,"Graphic Java 2, Volume 2: Swing (3rd Edition)",David Geary,Prentice Hall PTR,9.78013E+12,1999,3,1622
"Black Sun, Red Moon: A Novel of Java",Rory Marron,Seventh Citadel,9.78096E+12,2013,8,338,"Black Sun, Red Moon: A Novel of Java",Rory Marron,Seventh Citadel,9.78096E+12,2013,8,338
"Black Sun, Red Moon: A Novel of Java",Rory Marron,Seventh Citadel,9.78096E+12,2013,8,338,"Merdeka Rising: Part Two of Black Sun, Red Moon: A Novel of Java",Rory Marron,Seventh Citadel,9.78096E+12,2013,12,334
Java Programming: A Comprehensive Introduction / Edition 1,"Herbert Schildt,Dale Skrien",McGraw-Hill Education,9.78008E+12,2012,1,1184,Java Programming: A Comprehensive Introduction Java Programming: A Comprehensive Introduction,"Herbert Schildt,Dale Skrien",McGraw-Hill Science/Engineering/Math,9.78008E+12,2012,1,1184
"Java: The Ultimate Guide to Learn Java and Javascript Programming Programming, Java, Database, Java for dummies, how to program, javascript, javascript for beginners)","Peter Hoffman,Stanley Hoffman,Java for dummies",CreateSpace Publishing,9.78152E+12,2016,2,86,"Java: The Ultimate Guide to Learn Java and SQL Programming (Programming, Java, Database, Java for Dummies, Coding Books, Java Programming)","Peter Hoffman,Stephen Hoffman",Createspace Independent Publishing Platform,9.78152E+12,2016,2,84
"Java: The Ultimate Guide to Learn Java and Javascript Programming Programming, Java, Database, Java for dummies, how to program, javascript, javascript for beginners)","Peter Hoffman,Stanley Hoffman,Java for dummies",CreateSpace Publishing,9.78152E+12,2016,2,86,"Java: The Ultimate Guide to Learn Java and Python Programming (Programming, Java, Database, Java for Dummies, Coding Books, Java Programming)","Peter Hoffman,Stephen Hoffman,Java Programming",Createspace Independent Publishing Platform,9.78152E+12,2016,2,100
Data Structures and Algorithms Made Easy in Java: 700 Data Structure and Algorithmic Puzzles,Narasimha Karumanchi,CreateSpace Publishing,9.78147E+12,2011,9,440,Data Structures and Algorithms Made Easy in Java: 700 Data Structure and Algorithmic Puzzles,Narasimha Karumanchi,Createspace Independent Publishing Platform,9.78147E+12,2011,9,440
Java EE 7 with GlassFish 4 Application Server,David R. Heffelfinger,Packt Publishing,9.78178E+12,2014,3,348,Java Ee 7 with Glassfish 4 Application Server,David Heffelfinger,Packt Publishing,9.78178E+12,2014,3,348
Java EE 7 with GlassFish 4 Application Server,David R. Heffelfinger,Packt Publishing,9.78178E+12,2014,3,348,Java Ee 7 with Glassfish 4 Application Server,David R. Heffelfinger,Packt Publishing,9.78178E+12,2014,3,348
"Agile Java Development with Spring, Hibernate, and Eclipse",Anil Hemrajani,Sams,9.78067E+12,2006,5,334,"Agile Java Development with Spring, Hibernate and Eclipse",Anil Hemrajani,Sams,9.78067E+12,2006,5,334
Computer Graphics for Java Programmers / Edition 2,"Leen Ammeraal,Kang Zhang",Wiley,9.78047E+12,2007,3,396,Computer Graphics for Java Programmers,Leen Ammeraal,John Wiley & Sons,9.78047E+12,2007,3,376
Beginning Java: A Computer Programming Tutorial,"Philip Conrod,Lou Tylee",Kidware Software & BibleByte Books,9.78194E+12,2013,9,466,Java for Kids - A Computer Programming Tutorial,"Philip Conrod,Lou Tylee",Kidware Software,9.78194E+12,2013,2,446
Java Quick Syntax Reference,Mikael Olsson,Apress,9.78143E+12,2013,8,88,Java Quick Syntax Reference,Mikael Olsson,Apress,9.78143E+12,2013,8,88
A Programmer's Guide to Java SE 8 Oracle Certified Associate (OCA) / Edition 1,"Khalid A Mughal,Rolf W Rasmussen",Addison-Wesley,9.78013E+12,2016,8,688,A Programmer's Guide to Java Se 8 Oracle Certified Associate (OCA),"Khalid Mughal,Rolf Rasmussen",Addison-Wesley Professional,9.78013E+12,2016,7,688
Real World Java EE Patterns-Rethinking Best Practices,Adam Bien,Lulu.com,9.7813E+12,2012,9,432,Real World Java Ee Patterns-Rethinking Best Practices,Adam Bien,Lulu.com,9.7813E+12,2012,9,432
True Humility: Stories from Spiritual Java,Kris Vallotton,"Destiny Image, Inc.",9.78077E+12,2012,6,15,True Humility: Stories from Spiritual Java,Kris Vallotton,Destiny Image,,2012,6,5
"Java: The Ultimate Guide to Learn Java and SQL Programming (Programming, Java, Database, Java for dummies, coding books, java programming)","Peter Hoffman,Stephen Hoffman",CreateSpace Publishing,9.78152E+12,2016,2,84,"Java: The Ultimate Guide to Learn Java and SQL Programming (Programming, Java, Database, Java for Dummies, Coding Books, Java Programming)","Peter Hoffman,Stephen Hoffman",Createspace Independent Publishing Platform,9.78152E+12,2016,2,84
